,bl,error_dl,min_dl,max_dl,error_ac,min_ac,max_ac,error_dev,min_dev,max_dev,error_dl_null,min_dl_null,max_dl_null
0,0.0,0.07194617514709745,0.008824131831114622,0.1866549623698498,1.2371261141316083,0.1291645733284997,3.2738258705043033,1.4576714862615217,1.148973909960056,1.78051859298584,2.171340283847312,1.7550924535564387,2.5369528378247947
1,0.02,0.05300014673295423,0.003755646973895404,0.16737063659590504,1.1334498214189592,0.17864778925477673,2.9476441764123504,1.4482777017541009,1.0468946194592919,2.0202389531816562,2.1652026496863632,1.7887123345891685,2.8272702883579925
2,0.04,0.07538380072498355,0.014530780000803037,0.22566043196742683,1.1770638276772176,0.20769396148729552,2.434483770930423,1.4382520405496064,1.0463557391361118,1.7595147969995044,2.159933506704422,1.8064866471196894,2.5713203623505185
3,0.06,0.08042241049989653,0.008526227156464653,0.18396469147882327,1.2043611320174827,0.09924343567995575,2.7114758333825155,1.4458364932138459,1.0006662024381199,2.031646454611976,2.1269535517541565,1.7752748784998118,2.57207608683797
4,0.08,0.06681538786860283,0.003196634530102941,0.17330367405985725,1.209650912225188,0.10063297804562538,2.451171850634305,1.5164653939741572,1.0503216573867862,2.13070360586965,2.192288687138655,1.7491365994859907,2.8358798553199973
5,0.1,0.08368006067667466,0.013195884899420255,0.2478380908414003,1.2952836719773315,0.32137933749231057,2.331364667437497,1.4154909181164284,1.04210372785544,1.9371442135561232,2.177023330959864,1.7386584065421284,2.6473478812160667
6,0.12,0.053959838395803546,0.005419894566879201,0.1677726251503813,1.4368902859804675,0.5682663422700406,2.5191853619541296,1.439743089830811,1.1137334505488485,2.014671648478596,2.148088521617751,1.7653094125217825,2.6764109881058475
7,0.14,0.06151205205484354,0.005433033762842919,0.15238939573728497,1.533191777735167,0.17141141227466822,2.9359900388742846,1.4199224389832563,1.0338778077009576,1.9767223838185988,2.210000347791441,1.7890354595192492,2.5854446380120844
8,0.16,0.08064199700477903,0.012191500596521661,0.2079939728159011,1.385255748550521,0.755098059993352,2.1887694612973125,1.483861089078471,1.0706355235258787,1.9389854619971776,2.1706349897124713,1.8206286021571363,2.553285629520292
9,0.18,0.060557689801489956,0.002082049000932181,0.18181997519844398,1.3885759126024126,0.5590173549986992,2.0257941122125693,1.431513268688368,1.0158038914921426,1.8802519204594228,2.1448068777161895,1.7851322261002458,2.5298767424796713
10,0.2,0.05178553547210765,0.00409176502428277,0.1391830582611916,1.4924502107716011,0.855452706167723,2.2033700746697074,1.469437775255859,0.9858472184331454,2.0021515972573107,2.1230432906324275,1.7612780722050203,2.5923377190144525
