,al,error_dl,min_dl,max_dl,error_ac,min_ac,max_ac,error_dev,min_dev,max_dev,error_dl_null,min_dl_null,max_dl_null
0,0.0,0.131063302081757,0.001300796545027493,0.3842996838427779,1.040259917291842,0.04311667566809618,3.516855458570616,2.04845904545136,0.1677262854751342,5.247650295777548,2.766569570021007,1.8035953806086686,4.9131603621311735
1,0.5,0.11449577816362375,0.00820534877567289,0.3548334146207049,5.894360681119184,0.929746146314697,14.82851473662276,2.433996893571856,0.23868698221534326,5.737217665783633,3.1848503033725097,2.119560180944605,5.194585008259705
2,1.0,0.09286995423834137,0.004516391601906229,0.31259657205178043,5.796950718430029,0.3897615296737974,18.723912918054694,2.4634162678464158,0.13444806228362358,4.885636048421983,3.029008464389346,1.9214846290528749,4.894897446998716
3,1.5,0.12085082837314257,0.005745173140554779,0.31791093844451,9.9566929388815,2.592237821438952,20.32532931400828,2.8922865647492837,0.2716508097194473,8.318249679576208,3.178792196918108,2.0808463475345285,4.630883663768727
4,2.0,0.11153775686407073,0.004852553319533072,0.3828155190997734,4.264423204835398,2.0758458803192057,7.543849303729218,2.286500886794917,0.13503465023274194,6.636022342967751,3.0885909278232155,2.058907785960581,4.899766410346231
5,2.5,0.11251106338950052,0.0047273121967831505,0.41126991640796307,5.409254952543864,0.9869188081763884,12.078636067788327,1.9092730265643456,0.12366834202980712,4.170090632213766,2.7909044815014927,1.9455657091654965,4.510533155479297
6,3.0,0.12182327211520022,0.00028228520389229656,0.3377975565705813,6.155947336197133,0.2757076907700416,16.45356091392657,2.564392875634158,0.2897350671011268,5.569889171808055,3.0187621878626065,1.9632330734868133,4.888950982022824
7,3.5,0.12308040856925404,0.006567044138681901,0.31772079211521626,1.9927944936322282,0.08471060597383698,5.0071118951596105,1.8909924874347255,0.242098977443697,4.562974140504599,2.8036864213736585,1.9462337673585353,4.478590046391231
8,4.0,0.10701520348961541,0.00734621748061201,0.3392420710522993,2.9698851160115924,0.6626710890822008,6.088358939280195,2.048139439064147,0.09638163662057217,5.073039081294361,2.787003372562809,2.028357939760034,4.766313245250384
9,4.5,0.07517820826665095,0.008906729088117954,0.2595797756326533,1.0075847678783578,0.4545807319773039,1.8300907717687256,2.0421232908809164,0.2930859278426805,4.3325395437968455,2.442622889799356,1.9208178817978074,3.452479736376188
10,5.0,0.08034534592303717,0.002575098700807555,0.22041634356592846,0.7765082786426679,0.21436644237190158,1.8263178357256977,1.7955508518580277,0.0616291695912222,3.8114818555561842,2.269299924542907,1.771384154142859,3.0080395207276385
