,al,error_dl,min_dl,max_dl,error_ac,min_ac,max_ac,error_dev,min_dev,max_dev,error_dl_null,min_dl_null,max_dl_null
0,0.0,0.11187214057206361,0.0015206990199145803,0.34456974422340514,1.0871377252699528,0.18234364187231863,2.2826885076532957,1.3240501681448955,0.18853740030961053,3.0945936203933444,2.7697487833263432,1.8170928429982427,4.776175650693494
1,0.5,0.12137431013876711,0.004746117983828238,0.38012894822730586,3.7575936166017785,1.7942860383805241,6.86721644173422,2.673176900714904,0.41509203482436263,6.692787173041195,3.1803292915769905,2.0807438208198668,5.121650654265386
2,1.0,0.1447661465529041,0.01353950837298352,0.43462707656474076,2.2146453901474326,0.06900696300079646,5.862521585808816,2.5375045160005993,0.2705469022623614,6.293842086496857,3.022562256972098,1.9424403768742255,4.800165384387692
3,1.5,0.1558531494587131,0.0015509714539918484,0.5287620595071171,2.683857692967734,1.1764864462110507,5.236732989509802,2.1854373063119876,0.26031071669691286,5.4475665674046905,3.169627324861588,2.111766439760694,4.764567215652682
4,2.0,0.1358789111126431,0.0062053517131024066,0.4554780030241088,2.5728085769597855,1.462631594560245,3.909892683711104,2.3850894282119404,0.35406640277122997,6.038402416454008,3.088399821873337,2.062979435318851,4.7831505187192835
5,2.5,0.15817987641279616,0.0092777045126979,0.43968866671911017,2.7005903875319586,1.4922885244026678,4.723416007041083,1.8844895505469048,0.15077836961542868,4.099238633307202,2.7901283379286776,1.9279449099204171,4.570053860876283
6,3.0,0.17600828245383604,0.008221129929491467,0.8321379347519078,3.167750699941913,0.8514824953597558,7.12841154255714,2.3030155625630555,0.40456095353683663,6.329334797998425,3.006086285693337,2.0021992120757575,4.767795396471779
7,3.5,0.1289633225075107,0.0036267843833927456,0.35741961579799586,0.5473853497362244,0.025989763501617538,1.3717844219810038,2.1658041649644164,0.6901636882192419,5.056380272599237,2.795048798022752,1.917915281901005,4.40655273968226
8,4.0,0.1105806303536411,0.0019490620690896887,0.3753445851118353,2.780880595497704,1.9227186873590445,4.764828075830909,1.7873612162209869,0.5042563169547709,4.471750156071492,2.7779240747327583,2.0364604380388247,4.652290922022216
9,4.5,0.12418109121877004,0.00789959669525015,0.4214593252651001,1.0170473400207716,0.5158914033506001,1.7022354920549918,1.8940313634367738,0.2750181249256225,3.863706990170598,2.446169748943022,1.8986532953603912,3.4484932709534517
10,5.0,0.09524744723556594,0.004498508194856576,0.31714195382808175,1.2503651813095782,0.8177577447837638,2.059826139439215,1.5169265390236892,0.2699940191171905,3.17681062931115,2.2662614896787656,1.773620657966759,2.9657480824449673
