,kl,error_dl,min_dl,max_dl,error_ac,min_ac,max_ac,error_dev,min_dev,max_dev,error_dl_null,min_dl_null,max_dl_null
0,0.2,0.06734400193901985,0.0011325718088097592,0.20973986190418806,1.6619212386673587,1.4498741244773348,2.1211259857557487,1.7014084987234737,0.9082716542745892,2.665209623486345,2.346294402447038,1.9093197806657116,3.177938724149173
1,0.22,0.057145745180498746,0.005477711076518158,0.16942446471571848,0.8691247833209732,0.32270329707211376,1.27137957139403,1.6572086211943395,0.8478639011794007,2.4023023769460266,2.442861055430956,1.8383725647651872,3.1153309454835822
2,0.24,0.07071614589670046,0.007091828725433152,0.13827029127318916,1.7790395203737432,1.461645119326884,2.180414897841663,1.6182534173066783,0.8424573187562633,2.2389793774284614,2.2888514760064025,1.84577719072832,2.8603217812585795
3,0.26,0.07859149519860742,0.0030245318090681836,0.18333821447411186,1.5473923779866094,1.0898368410911703,2.157058393116499,1.581775891256099,0.6504558776630199,2.5525894362664303,2.3422704805258556,1.7985038670523807,3.1814160524877275
4,0.28,0.0684418949935848,0.002106713792525735,0.21058080770762438,1.505715220427772,1.0416792892115851,1.9744190105865715,1.4910716168773368,0.33312333578962916,2.375643346747916,2.2483482673832174,1.8019350904885807,2.713081222106934
5,0.3,0.056814786804395515,0.0015039915625611714,0.11124382582776474,1.5635190128417338,1.3009144986087258,1.9633335596007844,1.558293689965537,1.0635346192219866,2.058520040172928,2.3489222168495956,1.9175638763181493,2.93942804148602
6,0.32,0.0779256040605166,0.0035088534939220818,0.19616058375337636,1.181738203323426,0.90048972203784,1.5557691465014893,1.5288147037212736,1.1356864538043565,2.2962758579423768,2.225285275411729,1.7980792519117446,2.5338688875271442
7,0.34,0.07702103806799374,0.005926977096034082,0.19231570126830186,1.5871603307385143,1.2654518506072356,2.057399546101933,1.5323289609113755,1.1453033552368228,2.022042946882258,2.2496970139620083,1.7909878618196107,2.800019504863993
8,0.36,0.060416677248604396,0.000989763744813045,0.1827446830095316,2.0504670360705672,1.7884164813375376,2.4968149718233357,1.5651669545160363,1.165376706135059,2.024525796989204,2.259685627696666,1.814918879347463,2.763829782155031
9,0.38,0.066250223691477,0.0059667278105193155,0.16290686467798812,1.9504844759438407,1.6371313087707586,2.2877681441971713,1.4874483042168054,1.164271315332157,1.9187904673598226,2.2365247320603903,1.8010861602464767,2.7190823210877437
10,0.4,0.06831058455436162,0.006811729424432525,0.16242819819153653,1.8558283326757643,1.314810557101508,2.426557197654802,1.523339740697651,1.1850080810549204,1.9030057848108037,2.2406337134663934,1.7186359525307526,2.7316851959479242
