,ul,error_dl,min_dl,max_dl,error_ac,min_ac,max_ac,error_dev,min_dev,max_dev,error_dl_null,min_dl_null,max_dl_null
0,1.4,0.21745355592881058,0.005320184576935592,0.7278588960042578,1.7740600691529014,1.3521725018345132,3.062970668004396,1.9777381390342512,1.2684101681153162,4.378015961112276,2.5206804121817057,1.8100135240192263,4.3703859018388425
1,1.38,0.18202394308718123,0.0048597577874183884,0.7917083679720719,1.7318464784660983,1.3347356234802072,2.6174646617156525,1.8703862342594857,1.2248902848651608,2.929724635905885,2.572099723902381,1.8104978807638124,3.663757353573674
2,1.36,0.3047737567704947,0.00267523258068239,1.1466163844029251,1.965535856548285,1.4140266571854239,3.9577233312408864,1.9859076889434295,0.817785170386339,4.47356031225889,2.8956018200677027,1.9132828707114906,5.459844000374532
3,1.34,0.1701406573828134,0.0008801266220035466,0.5852277395948512,1.6427961092128545,1.339960447499601,2.7763037458622084,1.7157711407355936,1.2313861159827797,3.1237794665572176,2.4494919868560174,1.8408637875327192,3.9837452692484216
4,1.32,0.3428371941655543,0.006832300136295515,2.1810355892325153,1.910714204574182,1.3855215201155184,3.9179363210518994,2.0150700935896126,1.2509433850812834,3.830135257081867,2.8322503542158586,1.9083969293863183,5.952605384795071
5,1.3,0.21116005087377052,0.004616845633709705,1.0533471607771332,1.7420210512257543,1.376293212022003,2.6265521825861105,1.833413077637042,1.3385450856987395,3.1798102251732647,2.5572288715555147,1.9237750076615159,3.912366380149504
6,1.28,0.23750940194013864,0.004101745909729536,1.3299760248411256,1.7487294801131024,1.2425424656393298,2.9274919081450785,1.814314926667852,1.3398077463298657,2.5602720713388867,2.616571868755299,2.0326002513856727,4.413251061806811
7,1.26,0.28133351559801556,0.004221689258344144,1.2097806285008506,1.828455704972173,1.3603952807405026,3.3845213938831096,1.873773978259929,1.1716771553892782,3.2873896319561324,2.7627877983969737,1.9155182588575654,4.644697353539462
8,1.24,0.12550334879245745,0.013447957275622015,0.3482055564887264,1.6564361542947723,1.3948803242199157,2.1436012886519538,1.6884689675010522,1.3183562477414104,2.1726629187661346,2.467017527441983,1.9716846569892013,3.4124454377564204
9,1.22,0.19348780001558633,0.008018830686848433,0.8215917939836589,1.7236009041419889,1.2721506303578374,2.823195521054663,1.743672694829824,1.2941253203962204,2.6715819292040246,2.6353784491332544,1.89855742278978,4.620077799208068
10,1.2,0.15383076993120556,0.009904027977507624,0.5343233511075532,1.5817243070215647,1.1111120260762308,2.1851122411082113,1.6626050431540682,1.2078063762931939,2.158338803470343,2.4631945512757385,1.8648645659130847,3.4730035942935764
