,ul,error_dl,min_dl,max_dl,error_ac,min_ac,max_ac,error_dev,min_dev,max_dev,error_dl_null,min_dl_null,max_dl_null
0,0.0,0.07570350204827876,0.0020415820205109346,0.24113631509529854,1.9399533956750614,0.28032194393186466,4.570756796078203,1.6176825931914751,0.1338025152639013,3.294943200702841,2.408802574881861,1.828206506844904,3.463979774437298
1,0.03,0.07108885532934685,0.004548385132195642,0.21851292426459548,1.3416840838013309,0.14483956926846878,2.9952849582633276,1.4304101047300029,0.23595971319644238,2.537024451357127,2.4454711663136655,1.8262852891282915,3.73504047803924
2,0.06,0.05983175131458778,0.0043187686593560886,0.15753299533596984,1.4522201695020467,0.18513146455836324,3.4689250796257003,1.700669239790388,0.5770682762000586,2.860429106792715,2.3952699291478705,1.8018724269448394,3.158681646119551
3,0.09,0.0729057369786677,0.004292313932988749,0.27124456619876597,1.5625898541935082,0.11691654992728713,5.035534181823113,1.6542997709841918,0.5616779456606315,3.2131020645344934,2.2582093859543426,1.846302369023368,2.8736702762852477
4,0.12,0.06609024235051947,0.010920054022568775,0.1660571794938382,1.2977823344030717,0.05780353732914968,3.224016784479015,1.6433691847913046,0.5883254474854978,2.5069452851742318,2.2950932836307056,1.7902204542800066,3.1071536600499012
5,0.15,0.06282523456881828,0.004375126513425145,0.13615103230255135,1.2699069081959462,0.18325332717707515,2.8896098525374168,1.7137733343258994,0.2994167088300516,2.985888816258612,2.3134811172376653,1.8184294372631087,3.0606936196244505
6,0.18,0.06070121073769928,0.00321230652471157,0.1631587404128246,1.4769538982455237,0.45667972264877366,2.3248318717480245,1.8831369462049024,0.8002075167994169,3.660810027458112,2.2514275952371974,1.7515676799270077,2.962918869936855
7,0.21,0.07990840196279896,0.004788056761910998,0.21990013834660066,1.466950313555556,0.8888586197941156,2.0323234137771475,1.5076678842614317,0.1453558627858229,2.603321697064567,2.3063849658547535,1.8162749071471938,2.9342845660137793
8,0.24,0.07418615155754296,0.010085124667446448,0.15404253148596417,1.4855046693647143,1.1971457290351137,2.031919802101496,1.6671780734213097,0.5253776249451524,3.7805701670164535,2.222536985456528,1.7856070013287502,2.7869897511604216
9,0.27,0.08496128518318023,0.016627847664618892,0.19162210221286943,1.5110913098913332,1.273319697879863,1.7889831953987105,1.9973101182328135,0.2759762951549093,4.236887694063971,2.2994394320769143,1.8443936092870516,2.827391445931683
10,0.3,0.09220824851626462,0.011593278482435725,0.2128926257940751,1.5760241109399766,1.3120574092678678,1.9147914472610845,2.4056297193130334,0.4998194424252505,7.637816494417665,2.349037276031572,1.9462845475246524,2.970374812579451
