,ul,error_dl,min_dl,max_dl,error_ac,min_ac,max_ac,error_dev,min_dev,max_dev,error_dl_null,min_dl_null,max_dl_null
0,0.0,0.09015638379557483,0.0123173163183436,0.21078006377888764,1.3026869841901385,0.08311936376886539,4.370514897913652,1.6390926192398292,0.11158316371803058,2.814457793228867,2.415430751372441,1.8121121741831308,3.3208358670381077
1,0.03,0.10200093611961117,0.004914708226667837,0.29587036022492197,1.104294223566212,0.10941220456677289,2.969310851510665,1.8448578682055685,0.656671276392059,3.7452716221628015,2.4468178593064684,1.819476373478728,3.640444336649166
2,0.06,0.0762832946045836,0.006621603341780345,0.19263901033633382,1.2480226794377507,0.19599843306341702,2.875292718252005,1.5228912545661253,0.416016934832915,2.6499971661767767,2.39126385115067,1.8026612525777181,3.063951954779916
3,0.09,0.09999682866846958,0.005326765704093889,0.29710140663421925,1.4805812728921175,0.2106879992797822,3.9553569890390103,1.6162332571432583,0.5690507862058506,2.816399608122489,2.2573920064220885,1.837288938656397,2.840804627622441
4,0.12,0.0763961585433477,0.0059832848958754825,0.2111968738768514,1.3637179681830383,0.31220517886636356,2.781045843994008,1.7539592811849254,0.5188876120134644,2.9194702907590435,2.295505791739142,1.8142786897535572,3.0862573121211403
5,0.15,0.10021040937236492,0.002830130213057132,0.29282530209638963,1.184718309352576,0.1279382769965764,2.5676034206281093,1.4670275871729148,0.45371349146212464,2.946342994686802,2.308843730949445,1.8317861439002965,3.1010937033625123
6,0.18,0.08552138025613995,0.005389131526836852,0.26453456819643656,1.3842370347066473,0.5530320363003306,2.7343196120339144,1.8987589585054514,0.8271732786351124,3.223453666677812,2.25405670851219,1.7593644585878425,2.953565415955461
7,0.21,0.1000241790490532,0.0064966374051008595,0.3009465608325824,1.4666794639467735,1.0618114852435194,1.91186559097626,1.600293448755185,0.597208245397679,2.803474333325666,2.3058607718556945,1.8198218452382688,2.8752297596923424
8,0.24,0.090032099478615,0.005476631128936138,0.2106429190152653,1.4366969642487641,1.1765592519080967,1.7257711895549495,1.5739336627453662,0.31074686409760516,3.390403452458099,2.22219008276891,1.7844640297748868,2.794228352188598
9,0.27,0.09205817506226836,0.011204812991419854,0.2299563835326693,1.5262961372066306,1.319508763380925,1.720275262778326,1.8181230771831247,0.13420106055257383,4.3439549451160895,2.2995563906116705,1.8372820841065238,2.8153662424534596
10,0.3,0.09680672259507789,0.016731385632261182,0.26453925856507265,1.5581608991771063,1.3467829988341637,1.7635507530198429,1.8974704061143208,0.35611576653426663,4.334151738179438,2.3511918195827524,1.9710048028859157,2.8722557363563412
