,bl,error_dl,min_dl,max_dl,error_ac,min_ac,max_ac,error_dev,min_dev,max_dev,error_dl_null,min_dl_null,max_dl_null
0,0.0,0.09127030926659531,0.010055413407077697,0.3076116727467553,1.1636587061010042,0.19652973768988297,2.5355895591632396,1.4828461331370317,1.2396411398798828,1.8229438720678712,2.1728950889498084,1.7917027113691475,2.564764613241408
1,0.02,0.08367707631037334,0.0023659926336340223,0.23589686762361273,1.2676248885479944,0.4500531043472053,2.499224621974167,1.4605113802224932,1.0413637474741486,1.941418939995481,2.1741582609695076,1.772472084189097,2.8048753135114324
2,0.04,0.0854129414812868,0.0019218484101445848,0.19943229505182608,1.2782432205865928,0.43914755250464593,2.3378676911702545,1.5249648701008724,1.2703438932215905,1.8622333518900591,2.158098263899755,1.8124593900219714,2.533982478446715
3,0.06,0.08209719952433345,0.006246309562064031,0.28506902009867713,1.3254198004446405,0.18650150872662383,2.4373273886506346,1.448663148798751,1.12850733679691,1.810346942008675,2.1282681565697574,1.7757719979687305,2.524260527751909
4,0.08,0.0914613481662628,0.002878816786028047,0.2732379761840227,1.4186261015851351,0.3599851146155711,2.3989841387769335,1.4681988760920086,0.9675817070497411,1.962927947059053,2.191300213463631,1.7510587421321304,2.83675205602929
5,0.1,0.08554696744876449,0.01098118283192149,0.2531009932872757,1.3284802796827266,0.2771343745000886,2.169621203162029,1.4362525585495087,1.095823914883584,1.8917498160128465,2.174972966684658,1.7560043553759992,2.6274121558836017
6,0.12,0.07632582397228474,0.004229655343500623,0.16256748965725393,1.4734028784146411,0.4228720987387176,2.516015257892689,1.4515030069082888,1.0872114767279268,1.8382699968234226,2.147056168983236,1.7621255620418643,2.6488584930323205
7,0.14,0.09235631691856132,0.0076232804895794495,0.26041800737917514,1.5215290985955872,0.6019518753719532,2.4592480037860245,1.4473655164664396,1.1893321721777885,1.8557418560409333,2.215940616095028,1.7998327127030536,2.623271928386237
8,0.16,0.08481103541870962,0.007966670554568825,0.24785954005794641,1.4534840181890274,1.002684301726798,2.107760118288647,1.4860820073189118,1.1666052124309356,1.8612820102922634,2.172068823452704,1.8492814377278812,2.583162865321122
9,0.18,0.07544659953680258,0.002708671419920634,0.1778340930189229,1.4390956126979386,0.7935698129986491,2.1018281254436197,1.4108802781202734,1.0663677122063546,1.7824284096016207,2.15119845067585,1.7946475286524013,2.4987641913628265
10,0.2,0.0799154047402033,0.01295710736183429,0.19089976556359858,1.504263236014809,1.0028094954468192,1.9780655578110773,1.4751325878467114,0.7887037882614959,1.9022962228434293,2.1270195682003714,1.7696294071332188,2.6150520049554724
