,bl,error_dl,min_dl,max_dl
0,1.0,0.33116497239262854,0.055610057889925256,0.695952794623655
1,1.1,0.4077865707534678,0.021004241961706832,1.58828833988471
2,1.2,0.3254987408342783,0.05800302516763562,0.7091427538163254
3,1.3,0.31234322243238416,0.0627765984929368,0.6933242220709867
4,1.4,0.2774520637869544,0.03845166373974756,0.5281264841502552
5,1.5,0.3829578549649047,0.08387613165637774,1.361214265521866
6,1.6,0.4132051962786564,0.01773557805736867,1.1569134606258076
7,1.7,0.45769959478951117,0.09159333841496996,1.2997497053675349
8,1.8,0.3695535489860944,0.03823488077273864,1.1087877459876752
9,1.9,0.28495519253941337,0.011186642858119957,0.511844809169782
10,2.0,0.32431058641562927,0.07404007061164498,0.7401841098070145
