,ul,error_dl,min_dl,max_dl,error_ac,min_ac,max_ac,error_dev,min_dev,max_dev,error_dl_null,min_dl_null,max_dl_null
0,1.4,0.0967910679820326,0.006284201600879877,0.31706002097207997,1.7083087637294931,1.290605403735066,2.8823743493156337,1.880136699437273,0.9753431596839955,3.23165058858388,2.4968816259343245,1.8088738427629631,4.303986080673213
1,1.38,0.11703373262222297,0.0018002176478543368,0.3157190272661989,1.826623152826336,1.2898818423997884,2.8087021946379656,1.9075933720773446,1.1977080060965397,3.1669842230360943,2.548426439830053,1.7970012498076506,3.6842476590672057
2,1.36,0.1298425830715386,0.00792910471693537,0.3182519359220231,1.8103449106149112,0.8058522314540125,3.378384274156036,2.0442937196812596,1.3225665157540745,3.503541580913499,2.8624727659031226,1.8854969395304542,5.474268221855037
3,1.34,0.09556051373633771,0.006625766159536294,0.30617212618762374,1.5693169281329515,0.6386553588761584,2.4470620314591445,1.6744058176457488,1.2466830227943426,2.4127608794267132,2.429701745008742,1.8254423458213571,3.9782138206508026
4,1.32,0.11866140967074715,0.005272085370790294,0.3302656046144933,1.8135466341040252,1.1830216802289883,3.292850096229866,1.9829015317267462,1.2898231135547118,4.749931895594413,2.811365747822529,1.8961933495808054,5.819842310448298
5,1.3,0.1122678938120766,0.007911504638603543,0.33424139602248065,1.6037091956994147,0.884657702439679,2.36305397443392,1.7164769773354402,1.0685616409214456,2.5486749111896634,2.531717141862677,1.9167416283455412,3.9648934407207683
6,1.28,0.12384166779675146,0.017157783759995472,0.33869630647410504,1.681561766101594,1.0162291393126528,2.6169840668797537,1.8676400616480404,1.3197814253101756,3.1149155609578543,2.597307551066682,2.0210368397940903,4.328821359920691
7,1.26,0.10983913574434184,0.006903372913248879,0.3401600287841981,1.7289050966873065,1.1881856634769437,2.904691033911511,1.895944226874649,1.3504746843200732,3.4764217411165577,2.7511171112257706,1.9195037223631644,4.615208007714304
8,1.24,0.09630117628034318,0.004367597714903734,0.2575584067220851,1.610546104903241,1.2043622098192401,2.0366688636173684,1.700310602200683,1.3173837361453629,2.2137147877099452,2.448090104851658,1.9883146871686281,3.187371299653358
9,1.22,0.10835260747644394,0.013139721273437974,0.2851920393581234,1.5692627481783945,0.5809054250284676,2.4612293977030584,1.7585288592932762,1.3647982176152669,2.7536658490950994,2.6163320154752086,1.8972767475682615,4.589237963662582
10,1.2,0.10194731294883094,0.014642257791923229,0.24418365870423045,1.4675260615227341,0.6992383270337059,2.0874822450978434,1.6953507992284196,1.2136114530649003,2.4453171014321335,2.4571018222024534,1.8428543750529922,3.418755289257672
