,ss_list,preds_dl_list,relative_dl_list,preds_ac_list,relative_ac_list,preds_dev_list,relative_dev_list
0,0.0,1.880488822922107,0.013504481571771663,2.311272944248779,0.5681440508609525,1.800149015817677,0.08993395499814676
1,0.2,1.788635172253107,0.1160991345711642,-2.7325221850402612,6.567319778393589,1.950370508029834,0.1146803438991465
2,0.4,1.8848945858840558,0.025078184604027824,1.7672018889328667,0.1730823553172169,1.983570132782087,0.1912193314795001
3,0.6,1.8669761658367245,0.0056165009048942055,1.6635431131640839,0.3834751607143254,1.472936435462983,0.7375099787572065
4,0.8,1.8709404289191112,0.002095999679398789,1.6408004557346667,0.5108330481293453,1.9466418557464407,0.17081706209642517
5,1.0,1.8447770308322868,0.06825430388286345,2.2986767802636336,1.1600155014697728,1.697498852006,0.4667945988847562
6,1.2,1.881927191665443,0.043666631546113506,2.249367160965621,1.388900799387448,1.8200628648886652,0.18282480407295287
7,1.4,1.8542817829031168,0.07819852527210928,1.7149798504611165,0.771229141745744,1.8564204708889986,0.06755849876768492
8,1.6,1.8592979627468595,0.08947593767587965,1.8174865401013776,0.43904641274306017,2.034259035277285,1.3733115345732423
9,1.8,1.8714039479694315,0.04934791944733576,1.8526740156802344,0.6089978383628086,1.8646817085258929,0.18693471907508055
