,error_dl_-5e-07,min_dl_-5e-07,max_dl_-5e-07,error_dl_-6e-07,min_dl_-6e-07,max_dl_-6e-07,error_dl_-7e-07,min_dl_-7e-07,max_dl_-7e-07,error_dl_-8e-07,min_dl_-8e-07,max_dl_-8e-07,error_dl_-9e-07,min_dl_-9e-07,max_dl_-9e-07,ul
0,0.12753843589995376,0.0829570872798588,0.21616118146675684,0.07252497629591603,0.005141707435493887,0.20312671478366762,0.09965571258261918,0.003371697829204287,0.21333185277053074,0.10150422408634474,0.0034997247049318556,0.33358461947113877,0.17163472153592413,0.06268822960164683,0.2795546574681379,1.4
1,0.12211370781775266,0.015476667563751122,0.4314621179831132,0.1162422554495763,0.018873162717250157,0.20886412741318022,0.10816346532268561,0.0038856663712465806,0.3593518918681835,0.10209315309746736,0.005727884530762396,0.2458387366476499,0.1074691356656959,0.0032392667463501234,0.4024924757870162,1.38
2,0.07735875610883897,0.02152210679243497,0.18537140360650653,0.07393975522881654,0.002198713520929494,0.3748156801995103,0.0981729243318186,0.02109026642527052,0.1599429748006015,0.09585256277684345,0.0052422244177631515,0.30651716939527285,0.062105266240462774,0.003558210423797924,0.19453375342673,1.36
3,0.105002323460861,0.0014346062642826352,0.27460282788783297,0.09069533453166093,0.010210098451015986,0.2138032026804038,0.10852272281163403,0.01609303159385107,0.35932633506923817,0.06364522787348312,0.003255168305405017,0.15823934944850318,0.1557716228938962,0.02404623450996477,0.34661428218264506,1.34
4,0.1453343895832414,0.08890110649235494,0.1935761534110996,0.08729707637930473,0.0028129451603014026,0.20593017347116896,0.06834114442739432,0.02300314760090642,0.09716416733896586,0.05955327067613456,0.0060347482906512205,0.14080210709195393,0.08866618880774424,0.010337518891185948,0.22580940682401993,1.32
5,0.10612844082686809,0.015448941991738794,0.2580402131836939,0.09471710197149379,0.01476032344777472,0.21366443569303478,0.10535848338242355,0.007422122378132237,0.24754597294544764,0.05869356263082996,0.019725745781944637,0.1835192475840089,0.129995286369655,0.005306576342317755,0.32132671540921304,1.3
6,0.04596003785725413,0.009308008882170427,0.12483160588463384,0.05467697306998912,0.0010532182676545928,0.1360522745439663,0.1116570392687459,0.019971886225022942,0.21114940294912418,0.09717256247811354,0.012766959328400263,0.13742836592661986,0.10294455038810926,0.006940741955758714,0.19994607026909011,1.28
7,0.11492764128995474,0.026406637384557792,0.276016851492693,0.08426097115296471,0.03155047160761136,0.14715325924722195,0.049890637771440836,0.009345744199688892,0.12864080273911502,0.08366610954674669,0.0013145665648838167,0.23220749323749712,0.09719502522336321,0.004677609112133447,0.19317895720275585,1.26
8,0.10255008553430271,0.025285500067776277,0.18705636867553282,0.12928682414141698,0.03911238607154417,0.21832534633705633,0.09089910390099594,0.0025021458247289157,0.2640102265643412,0.08331145284938729,0.0011491036334328709,0.22562516160136914,0.09634321396075463,0.031111144214604092,0.16532086500781346,1.24
9,0.1141911425990582,0.006430275473906147,0.20666103613085557,0.09335686881871051,0.0032094576013484842,0.236694706423817,0.08796002918316306,0.015246603774658562,0.23404064883447898,0.13767570787870667,0.0015756299091203364,0.22905894948476815,0.058289000025567236,0.006142169519811923,0.1776121455247784,1.22
10,0.11083660012312346,0.031328497352473485,0.20471864944579707,0.13153545091141675,0.04690909608035835,0.30134176209537755,0.13277956957065945,0.01393311054089375,0.27279423902543815,0.0842204008628783,0.018692134498477706,0.2236229391643361,0.10661080396278991,0.029310330639805256,0.21796251882924875,1.2
