,ul,error_dl,min_dl,max_dl,error_ac,min_ac,max_ac,error_dev,min_dev,max_dev,error_lstm,min_lstm,max_lstm
0,1.4,0.10959326378366746,0.006841899965774059,0.24651574576264274,1.6149271447023725,0.8466752004491032,2.7499207148091114,1.650366005097417,1.0826671497882023,2.943977014018797,0.3126125595659957,0.021429813744715785,1.113307579176394
1,1.38,0.08399570285911112,0.007434718764704608,0.2106524003609362,1.540401068511068,0.9809607234539188,2.185693327985735,1.6104194433001175,1.2095369866005423,2.5556002573221495,0.23294617585958485,0.03985286697619099,0.48916066603014946
2,1.36,0.09708004829352841,0.007085373716207285,0.22532868290021504,1.5208601085082682,1.1309324733515556,2.034387430425891,1.5421843724122164,1.2571303250016812,1.9396221322075646,0.2044567965036826,0.018260601644348912,0.5312194938358659
3,1.34,0.09322031673810514,0.009321576803779342,0.208521761318699,1.4746381307374081,1.1112639784944036,1.750051908334937,1.4959974516007066,1.253008344143084,1.7456302278636064,0.1994257206006635,0.04474414175907978,0.39378169375461447
4,1.32,0.09484557771642337,0.0059464628892287865,0.2648524617108226,1.553647581337811,1.323454828928146,1.863259578207422,1.5059273878522754,1.0963277344051123,1.8372377477155986,0.1958944134242914,0.01762293196714788,0.39317221708363487
5,1.3,0.09890628286546546,0.011981543767660472,0.316647993814103,1.509784017266058,1.3392818367199189,1.7352420522242344,1.5174805973417196,1.2663395280630394,1.8016291799066653,0.18934439001166717,0.007234390834246643,0.37562722457485537
6,1.28,0.0950659508244598,0.0023116547003669144,0.21477363937479838,1.5108592105601761,1.3472089364736688,1.8215590300606084,1.523670941460916,1.2384253666810419,1.8329983946482264,0.1756332547913857,0.014222159550604315,0.3568838370395473
7,1.26,0.0818176138458692,0.004875093405720235,0.25704042885465,1.5089966982233782,1.0380493248156828,1.8139316176751858,1.5397412100766001,1.3085426999934007,1.8808337240658548,0.14541631437147892,0.018032969745560463,0.4638874553519842
8,1.24,0.0706227924006329,0.004910100266569617,0.15791339336691387,1.5140394344630694,1.307907572918585,1.7911204535141905,1.5520722246360625,1.308049264623168,1.8410963887185439,0.14522839928734607,0.0034988961073512703,0.29532105945861087
9,1.22,0.08479420215125262,0.003416102617386949,0.22730173303473508,1.5377176999889437,1.3038966059319979,1.7786786668844838,1.569526797801613,1.327479279167676,1.8271504076013374,0.1731038024088971,0.012793352213414516,0.3296980965934154
10,1.2,0.1077725961244018,0.013944706336252373,0.25831194773747396,1.557729614483283,1.358835026711032,1.8155549869204346,1.5535955414759242,1.234726299517804,1.9582783523801415,0.18455427624414913,0.023261173143390313,0.4362887634388872
