,ul,error_dl,min_dl,max_dl,error_ac,min_ac,max_ac,error_dev,min_dev,max_dev,error_lstm,min_lstm,max_lstm
0,1.4,0.11457161408015155,0.005141707435493887,0.24370613601498461,1.5407992064934737,0.789221271697311,2.5307061706094345,1.753783017199873,1.2417021664556092,2.985537876054451,0.36361184775831296,0.016435715515371933,1.1302546187245028
1,1.38,0.11121634347063557,0.005727884530762396,0.3593518918681835,1.4571470074472503,0.8003031278695184,2.130378174917206,1.6270625823786133,1.2814427773231527,2.5872911047275045,0.24398905461307013,0.009108037394398132,0.6848225746368635
2,1.36,0.08148585293735609,0.0052422244177631515,0.19453375342673,1.4600658464060134,0.9954839738265956,1.939348895449438,1.568831735482079,1.2381118228041144,2.126929451464108,0.21861836602160867,0.010849797177864082,0.5258390345199508
3,1.34,0.10472744631430705,0.004314729129090825,0.27460282788783297,1.3844563018167082,0.5605164514154275,1.7710456870047808,1.5330340355639385,1.2739012052942509,1.8742570087319899,0.19314231540536653,0.036365310276134724,0.40227447932925026
4,1.32,0.08983841397476386,0.0060347482906512205,0.19580236689511896,1.4075564551777606,0.4294276595968546,1.8407645140820672,1.5699041880984423,1.272483412342476,1.892629174877068,0.19195915832759985,0.005841429199856978,0.37087081779026193
5,1.3,0.09897857503625407,0.01476032344777472,0.24754597294544764,1.506217503905484,1.2711246903255995,2.1457536137738784,1.5385781364006268,1.282594727653971,1.9957087516771372,0.18974177176020068,0.013520121735581937,0.4080156819219865
6,1.28,0.08248223261244238,0.006940741955758714,0.17129153973870548,1.4368712975340465,0.8528684029447966,1.8035813517366317,1.5223347423219813,1.2699915346249602,1.9105561421512138,0.15488806446755402,0.013755989566608938,0.32810092891684556
7,1.26,0.08598807699689402,0.009345744199688892,0.19317895720275585,1.4186076499110953,0.714508848655912,1.767102126362231,1.540828315178406,1.295506735636001,1.8558713234525377,0.14023317901450424,0.006133035311890464,0.40529904326920746
8,1.24,0.1004781360773715,0.005594823939219711,0.21832534633705633,1.4514958456646925,0.7202324681954372,1.8191818721487858,1.546564709258727,1.270203350458601,1.880810431643016,0.17476969491347727,0.006333910688838927,0.47239879773165006
9,1.22,0.09829454970104115,0.006142169519811923,0.22905894948476815,1.4380241930863908,0.668788633147402,1.7661459439974256,1.5596153896119977,1.2966288289176822,1.884893336606802,0.19407940559806236,0.028136158501003487,0.36987625258477946
10,1.2,0.11319656508617358,0.029310330639805256,0.25807935219946115,1.4983335792113497,1.0514583706640077,1.8295767036389787,1.5500001982804583,1.2731286362125258,1.8993170189319895,0.19653615380134654,0.027574176223531255,0.4726376354286189
