,uh,error_dl,min_dl,max_dl,error_ac,min_ac,max_ac,error_dev,min_dev,max_dev,error_lstm,min_lstm,max_lstm
0,0.05,0.041579811514861044,0.041579811514861044,0.041579811514861044,5.861734230844136,5.861734230844135,5.861734230844135,6.322822363421793,6.3228223634217935,6.3228223634217935,1.6402404268002366,1.640240426800237,1.640240426800237
1,0.072,0.0862439496194252,0.08624394961942519,0.08624394961942519,1.9551796889051427,1.9551796889051427,1.9551796889051427,2.0471977571503523,2.0471977571503523,2.0471977571503523,0.4362887634388872,0.4362887634388872,0.4362887634388872
2,0.073,0.017194895809182056,0.017194895809182056,0.017194895809182056,1.869045617562491,1.869045617562491,1.869045617562491,1.9582783523801415,1.9582783523801415,1.9582783523801415,0.5107179393189268,0.5107179393189268,0.5107179393189268
3,0.075,0.04080204603603487,0.04080204603603487,0.04080204603603487,1.8155549869204346,1.8155549869204346,1.8155549869204346,1.871352810334106,1.871352810334106,1.871352810334106,0.47038043305278754,0.47038043305278754,0.47038043305278754
4,0.076,0.316647993814103,0.316647993814103,0.316647993814103,2.4775822149285434,2.4775822149285434,2.4775822149285434,2.3988139859671995,2.3988139859672,2.3988139859672,0.2077560956273319,0.20775609562733197,0.20775609562733197
5,0.077,0.1258093202501757,0.1258093202501757,0.1258093202501757,2.007544168820924,2.007544168820924,2.007544168820924,2.069468514807599,2.069468514807599,2.069468514807599,0.598951370270305,0.598951370270305,0.598951370270305
6,0.078,0.14401944103511002,0.14401944103511002,0.14401944103511002,2.532987470809868,2.532987470809868,2.532987470809868,2.489979251941688,2.489979251941688,2.489979251941688,0.8903937454976651,0.8903937454976651,0.8903937454976651
7,0.079,0.022015061671337124,0.0033587564086455103,0.09015611568606513,1.7936591500875145,1.769761768265834,1.802045100423769,1.929929722904552,1.834977676029812,1.9661447178251164,0.34651854759055073,0.2651328220288265,0.3741512826472086
8,0.081,0.06765493301167713,0.06765493301167713,0.06765493301167713,2.048266648299666,2.048266648299666,2.048266648299666,2.01863592293506,2.0186359229350597,2.0186359229350597,0.5315650936463975,0.5315650936463974,0.5315650936463974
9,0.082,0.04236896288661391,0.04236896288661391,0.04236896288661391,1.7151115943851676,1.7151115943851676,1.7151115943851676,1.7668760347872225,1.7668760347872225,1.7668760347872225,0.2891446359475601,0.2891446359475601,0.2891446359475601
10,0.085,0.1020649488756131,0.021474948126224674,0.1643890467422175,1.738838472050735,1.6875736870702323,1.7786786668844838,1.7843703665690245,1.7303841343274082,1.8271504076013374,0.2589151154797487,0.13396654971463673,0.3296980965934154
11,0.086,0.023587976534520348,0.023587976534520345,0.023587976534520345,1.745956713262779,1.745956713262779,1.745956713262779,1.844627408850516,1.8446274088505157,1.8446274088505157,0.2222907152242149,0.22229071522421484,0.22229071522421484
