,uh,error_dl,min_dl,max_dl,error_ac,min_ac,max_ac,error_dev,min_dev,max_dev,error_lstm,min_lstm,max_lstm
0,0.05,0.3335846194711388,0.33358461947113877,0.33358461947113877,5.236461576203971,5.236461576203972,5.236461576203972,8.152068659271073,8.152068659271071,8.152068659271071,3.2079449048671496,3.2079449048671482,3.2079449048671482
1,0.072,0.15627656334540946,0.15627656334540946,0.15627656334540946,1.912580447832165,1.9125804478321649,1.9125804478321649,1.8993170189319895,1.8993170189319895,1.8993170189319895,0.4113382640834476,0.4113382640834476,0.4113382640834476
2,0.073,0.11881543980672722,0.11881543980672722,0.11881543980672722,1.8295767036389787,1.8295767036389787,1.8295767036389787,1.9446140224965767,1.9446140224965767,1.9446140224965767,0.5671001420370095,0.5671001420370095,0.5671001420370095
3,0.075,0.18494473183133855,0.18494473183133855,0.18494473183133855,1.839186846887347,1.839186846887347,1.839186846887347,1.9631687165852363,1.9631687165852363,1.9631687165852363,0.3255119805088325,0.3255119805088325,0.3255119805088325
4,0.076,0.10578388405319496,0.10578388405319497,0.10578388405319497,2.316972060666457,2.3169720606664566,2.3169720606664566,2.589378068258745,2.5893780682587457,2.5893780682587457,1.074247069419179,1.074247069419179,1.074247069419179
5,0.077,0.236694706423817,0.236694706423817,0.236694706423817,1.9069709546784641,1.906970954678464,1.906970954678464,2.103667486917688,2.103667486917688,2.103667486917688,0.6582957571463574,0.6582957571463574,0.6582957571463574
6,0.078,0.055129619551750525,0.055129619551750525,0.055129619551750525,2.270408562579334,2.270408562579334,2.270408562579334,2.569421859394858,2.569421859394858,2.569421859394858,1.1743123434716258,1.1743123434716258,1.1743123434716258
7,0.079,0.03688994953548488,0.031328497352473485,0.05611783828896415,1.734718073834085,1.726123894821766,1.7604153244808236,1.7555397921589984,1.7124713065602708,1.889322730946949,0.35779165141115815,0.3322331249010804,0.48462648069986375
8,0.081,0.13283032333791228,0.1328303233379123,0.1328303233379123,1.9603953780773304,1.9603953780773307,1.9603953780773307,1.9185344898779357,1.9185344898779362,1.9185344898779362,0.7300127399988138,0.7300127399988137,0.7300127399988137
9,0.082,0.0471529399364014,0.0471529399364014,0.0471529399364014,1.76991058778543,1.76991058778543,1.76991058778543,1.8153173711921546,1.8153173711921546,1.8153173711921546,0.17761467179303683,0.17761467179303683,0.17761467179303683
10,0.085,0.1264075780898427,0.07172037737034496,0.14557540724088894,1.7599178605306376,1.5252162085414862,1.9001539497688444,1.659764155368737,1.57518699704722,1.7588849845239176,0.3182802506078025,0.1746211049303018,0.36987625258477946
11,0.086,0.08440072136142705,0.08440072136142705,0.08440072136142705,1.7067545236660013,1.7067545236660013,1.7067545236660013,1.7585994973829788,1.7585994973829788,1.7585994973829788,0.33349150478021683,0.33349150478021683,0.33349150478021683
