,bl,error_dl,min_dl,max_dl,error_ac,min_ac,max_ac,error_dev,min_dev,max_dev,error_lstm,min_lstm,max_lstm
0,0.0,0.07931229767597946,0.006280235373146924,0.21410215695699206,1.4069000482377285,1.177562338838578,1.6231502888230862,1.4360452120179301,1.1732802975288346,1.721413408586334,0.1930223924287117,0.025238193546111433,0.45459670758429377
1,0.02,0.09620717557445556,0.017454165848207498,0.24407917191948664,1.3922267002609545,1.057677292202549,1.6694480452491198,1.41800401491163,1.1581438083822042,1.598347259633174,0.19233722233550665,0.014106050907880856,0.4171662608193089
2,0.04,0.10014745297279537,0.01428323661346693,0.2693456384191132,1.4264967357728062,1.1935737939589073,1.6541923724013599,1.4279316544753566,1.1912198092874922,1.7039570592933655,0.18586209190726094,0.0081670115998631,0.42334475491376994
3,0.06,0.08020723624204823,0.0038536644145904524,0.18424303375443593,1.4192335154945528,1.2081469409063186,1.6891479696014995,1.423568837969173,1.1072776272517313,1.6718049318014436,0.204202902618073,0.02269403322523649,0.4236987461306316
4,0.08,0.06430646728769812,0.0014309514165199637,0.1430060039013186,1.4414160361609023,1.1474255185029951,1.7034769587723684,1.3723967174242182,1.124196960298529,1.6272013707315536,0.2228848151007241,0.044720889021709766,0.42209080076172795
5,0.1,0.06645895615980152,0.004784580297450946,0.18473393101846164,1.4052436305779414,1.0947768744637703,1.6968640431577189,1.4045876781068671,1.179656517904198,1.6951992405971195,0.23294697409021542,0.04364863857146345,0.4196000554558497
6,0.12,0.07479166447856281,0.00984694473534068,0.1714589001245841,1.4786194299023168,1.3037200678834457,1.700543537241129,1.4216894796376167,1.0958585984879958,1.605669584089045,0.1821837260936267,0.012144562630497884,0.44612228800651926
7,0.14,0.06827585298618195,0.0019880947707381458,0.1593380794513754,1.4739336927690991,1.2269947107743373,1.757951922444321,1.4181834977246655,1.1484803473518508,1.6907556858221957,0.20473336762629568,0.014313197428154156,0.41270395562101553
8,0.16,0.07941038287774449,0.007695005497017617,0.19113271917370717,1.4611269938096414,1.119148726401821,1.7128115111071052,1.4683391304548497,1.154806722923074,1.8529059684499019,0.162041719146957,0.005474613128635594,0.37135535564915795
9,0.18,0.08052233254249094,0.007246368411615619,0.183516164574298,1.4671823137667241,1.2473133022103828,1.7622494529974582,1.4479578517673435,1.207941505141243,1.6981615179073581,0.20802152229059787,0.021507591582517853,0.48654421497479194
10,0.2,0.09818034905244742,0.007645212526784174,0.22054333259208256,1.4660840061912017,1.2154303781143834,1.7673682856197042,1.4023789425050055,1.144712360520555,1.7036031737969322,0.19188304585979654,0.011630865052508346,0.4578782906406862
