,bh,error_dl,min_dl,max_dl,error_ac,min_ac,max_ac,error_dev,min_dev,max_dev,error_lstm,min_lstm,max_lstm
0,0.026,0.05665902294309429,0.05492768782978136,0.05839035805640721,1.4784170582063454,1.1570433949862144,1.7997907214264766,1.5176483286952123,1.463873603081902,1.5714230543085224,0.06420980936568349,0.05863027119364431,0.06978934753772269
1,0.028,0.10907096883019265,0.10907096883019264,0.10907096883019264,1.5660779045009605,1.5660779045009605,1.5660779045009605,1.4608775754726109,1.4608775754726109,1.4608775754726109,0.056052138367993484,0.056052138367993484,0.056052138367993484
2,0.029,0.10612987752230715,0.10612987752230717,0.10612987752230717,1.4178999937886383,1.4178999937886383,1.4178999937886383,1.3723751414433396,1.3723751414433396,1.3723751414433396,0.0036469711239409354,0.0036469711239409354,0.0036469711239409354
3,0.03,0.01775191450034399,0.0056216668322755506,0.03392557805776857,1.7817938832917428,1.615544506308089,1.9064809160294833,1.6721521147718004,1.59625522654488,1.7290747809419906,0.12799410082553303,0.12204342510595785,0.13592833511829994
4,0.031,0.1364203226360486,0.028383257741085476,0.32686309519597057,1.5005731160384335,1.1332601568494947,1.6994857672692858,1.53459705379799,1.3150488345140208,1.860230399044988,0.07430821953481327,0.0022655021215393536,0.18834766579893159
5,0.032,0.1258815130344914,0.1258815130344914,0.1258815130344914,1.5360276739541188,1.5360276739541185,1.5360276739541185,1.4505172015912928,1.4505172015912928,1.4505172015912928,0.18042157957876612,0.1804215795787661,0.1804215795787661
6,0.033,0.05827854260053534,0.017406555232156288,0.09437638163566553,1.451606549499544,1.3286690240073513,1.8304946178937773,1.3131352975240247,1.170060514811236,1.5367649330477378,0.22573448229780432,0.09939695930480985,0.3113862623099196
7,0.034,0.07733531985917136,0.039549623699068365,0.1570552810532102,1.7260037791273868,1.2868321857297345,1.964983887375652,1.4754545539163593,1.3077847528074973,1.575799757191902,0.12888224335412996,0.038160353482185,0.2935499562276321
8,0.035,0.07685965909288485,0.02672492525995538,0.21839505506033002,1.2874490634158107,1.1754666256196062,1.634090227653083,1.6950474106443472,1.5113791239527927,1.7513799479761611,0.044923714528807106,0.03427260946590947,0.056283619470300826
9,0.036,0.037185521153547944,0.00016820494066996575,0.13772293524895596,1.5619954080225589,1.1599624094879206,1.7831012224556837,1.4271247403626757,1.3701191013639096,1.5982234600886454,0.08789128023024996,0.0320588581432149,0.26780338224823946
10,0.037,0.04411789985857665,0.023333744416470042,0.10907348595902151,1.4902243862233566,1.385966873590038,1.6130677424223556,1.6549407549282378,1.4073924951445431,1.7431176939714985,0.1690024761792121,0.12978710222765413,0.314161125203714
11,0.038,0.043899424441953105,0.004553845714540653,0.11282511729271447,1.4210398744283401,1.2718031775051648,1.6047475610792696,1.3796272260333973,1.1335414822692231,1.70666561979456,0.12681636402257773,0.009088650564856686,0.42164960316828776
12,0.039,0.09389655006885644,0.03652682170062231,0.16112541868924968,1.5640757551555755,1.4085056702000023,1.70875477199906,1.4920033938065076,1.2547661942581954,1.5740199543930617,0.08647639047485778,0.0007677208626522469,0.252690632281528
