,bh,error_dl,min_dl,max_dl,error_ac,min_ac,max_ac,error_dev,min_dev,max_dev,error_lstm,min_lstm,max_lstm
0,0.026,0.09799051385075659,0.019628654935968833,0.17635237276554433,1.4409113147559527,1.1144543438922014,1.7673682856197042,1.5297198245459793,1.4693872878591945,1.590052361232764,0.06532455173395814,0.04593433439732135,0.08471476907059493
1,0.028,0.06448694213450878,0.06448694213450878,0.06448694213450878,1.56318429973833,1.56318429973833,1.56318429973833,1.407455936499947,1.407455936499947,1.407455936499947,0.09009841385980336,0.09009841385980336,0.09009841385980336
2,0.029,0.11195000123927908,0.11195000123927906,0.11195000123927906,1.421967199302904,1.421967199302904,1.421967199302904,1.3383625389151568,1.3383625389151568,1.3383625389151568,0.005341458745473083,0.005341458745473083,0.005341458745473083
3,0.03,0.03111234617503112,0.010634649108603882,0.05841594226360078,1.7076201920962604,1.528494051957907,1.8419647972000253,1.6533196159382515,1.5908148965802746,1.7001981554567343,0.09059977847870537,0.020234435701752866,0.18442023551464207
4,0.031,0.13530840993595433,0.01926866366048434,0.2691077858983745,1.5261621686509639,1.2154303781143834,1.694658133708845,1.4489393537501094,1.199255453489687,1.8339301651648632,0.06386671854899265,0.009728757229406504,0.14785158783436725
5,0.032,0.09645038529446275,0.09645038529446273,0.09645038529446273,1.4375722952341403,1.4375722952341403,1.4375722952341403,1.4027088842335724,1.4027088842335724,1.4027088842335724,0.018011185907780385,0.018011185907780385,0.018011185907780385
6,0.033,0.07364759169536912,0.051721791484137664,0.08916132784829274,1.4427407269315213,1.2987096700131087,1.7682657523345446,1.3445384804230252,1.1960068471905305,1.7036031737969322,0.22844199965170758,0.0637562355344911,0.32346624886481035
7,0.034,0.05105887331589886,0.007645212526784174,0.07283668026261308,1.6390808406052302,1.3606757181018032,1.784114500569406,1.4631877577007004,1.2452115228367573,1.5683223475033528,0.16717492254235672,0.12791106855118894,0.24187021405173192
8,0.035,0.09728122308473051,0.07283233500130683,0.21527210633237154,1.41418684855301,1.3394887545954943,1.6861554241459624,1.5999862506496505,1.423166649088647,1.6521550166031762,0.03324928880640658,0.02578175206373953,0.05693330947530401
9,0.036,0.05631952652151336,0.007246368411615619,0.22054333259208256,1.4501828475976342,1.15646100849053,1.7370410566502053,1.374701308915354,1.2591542437245988,1.6095278382855205,0.05523016335721224,0.0077350478810006805,0.15531911430423606
10,0.037,0.05124744382561853,0.040327435308467656,0.05945925312178277,1.5448036732842387,1.5151642795302733,1.5876426574956624,1.7466065670842166,1.5028384113522644,1.8804694668150441,0.15560510171764366,0.12104017249873528,0.3394825095160014
11,0.038,0.08695979465277294,0.011832723901401594,0.147603381436474,1.452534787537046,1.3230503650836007,1.6558958666318064,1.4268637365371883,1.144712360520555,1.6981615179073581,0.19412133057030076,0.06619804121776525,0.4578782906406862
12,0.039,0.10572828464378993,0.03189488967992398,0.1674643934638197,1.5677800059833273,1.4502621716815687,1.692763222943536,1.4816767735788632,1.21477604969033,1.651764442333263,0.11194226961227538,0.0023495490082880736,0.3263911081101635
13,0.04,0.08581503822676702,0.03881287819613935,0.15428498029589868,1.6722318313911007,1.4116275192328342,1.7683041428175958,1.5661839117289444,1.4210529508973644,1.6974158116327296,0.11021441403504237,0.023653324010192982,0.23614229035775153
14,0.041,0.05535533460011161,0.04495520365389498,0.128156251223628,1.7169590797871714,1.448543978313109,1.7553040942834661,1.573636945210716,1.2084685082465614,1.6258038647770239,0.07628554635894023,0.05395132974153102,0.2326250626808047
15,0.042,0.10249330235022606,0.08489149659979614,0.1589754833928247,1.5809982254130635,1.2721457443841753,1.681975928204067,1.701136820404952,1.1353952814598178,1.9184772002991959,0.29430994890710754,0.2578416911411476,0.42911638732953145
16,0.043,0.06903661671781319,0.023394465782747863,0.09017791889882423,1.4650958302243675,1.353336988924259,1.559010274441655,1.4370112656480525,1.2303356732299298,1.522005082074914,0.20479389987952798,0.03243343141193751,0.43779939770247994
17,0.044,0.08693008536551777,0.008977238652048145,0.19382999652451818,1.5307267968300737,1.3045589170403065,1.7128115111071052,1.4518154065635456,1.1793542421144767,1.5464486651578209,0.16359674379860326,0.025432477233324445,0.38681982091215883
18,0.045,0.10617234700286614,0.022394334817367877,0.19928840423267197,1.5095295680857077,1.2236127259923077,1.6826756213429528,1.5029318015959856,1.1082575137337347,1.9086766001000988,0.19434762867906835,0.009611951407281421,0.41769177015347303
19,0.046,0.11004095497284318,0.0034819881654702526,0.25848563760486204,1.393057550228407,1.0340951294781835,1.6631046299791699,1.4330726838714285,1.2256934311280805,1.6028303178604466,0.08294915582233639,0.01121813687249208,0.24516015245550654
20,0.047,0.06380256970182936,0.007587113128009606,0.11280206217349313,1.411481085194046,1.0823379914710318,1.646253282699028,1.5718813422993838,1.3156882880660092,1.8529059684499019,0.16037222906705473,0.03799467548296896,0.349172713460791
21,0.048,0.05739783731960632,0.0020449325641006184,0.1315236648928515,1.4958490703452065,1.3523719452656497,1.736760718635293,1.4993823894110894,1.2963768644715314,1.7073781464833049,0.0711494405142531,0.001497911457465813,0.2255239849747681
22,0.049,0.04813703373860966,0.032283340414704535,0.06663300928316566,1.6390522368286102,1.6018410934115952,1.670947502614623,1.5200310336095473,1.3823027413497124,1.6807140412460213,0.07670060403261472,0.05351436066128042,0.10375122129917141
23,0.05,0.08144951019553476,0.0015250862189804197,0.2038963700709378,1.5467352456553098,1.119148726401821,1.788472246647328,1.5034880692157786,1.2442269106478345,1.678383549979132,0.13719524614087003,0.005798021278402652,0.28654605189839066
24,0.051,0.07629571851605074,0.0665844633804647,0.08077783627093663,1.4369505587546498,1.4234387192240343,1.4662262110709836,1.4178010650781168,1.3771531204912102,1.5058716116830817,0.10408224356932463,0.06342949598089224,0.19216319667759482
25,0.052,0.03529903941350936,0.01635428586620361,0.04317639437083255,1.4492609538665968,1.3372289159446529,1.5148673489590574,1.312545839329418,1.2237969076609039,1.3733610949787294,0.3112368109266971,0.20577280995449646,0.504087923567721
26,0.053,0.07976767260860426,0.04066581097578354,0.1415397702905116,1.3802799042787257,1.2473133022103828,1.4586501863894534,1.3462861179150598,1.3140900279510797,1.3902736125014494,0.29029872877302965,0.24398125068832116,0.36383050786814425
27,0.054,0.05624169615906187,0.00416071323812281,0.09164468404926672,1.3882887745236678,1.0339758283900828,1.7064952060119603,1.4765613556144892,1.3469401750281398,1.687484149186499,0.20425971287570777,0.005795347915929663,0.48654421497479194
28,0.055,0.07628787868837392,0.018893433805784322,0.11107592837755072,1.5052568496010965,1.2269947107743373,1.757951922444321,1.3901297515694395,0.8997489099158326,1.5822494918774412,0.10056451770547982,0.013856233448463713,0.20617453599722532
29,0.056,0.07795480669490237,0.017110488608169234,0.19113271917370717,1.5706316930523432,1.1244392945124388,1.9271102131823052,1.5907024520949316,1.2696745509569005,1.7783740598089475,0.17250882765396425,0.055958567722425,0.48289664397631965
30,0.057,0.11196258338415885,0.08232392712454357,0.1481335187510658,1.3848600130978426,1.1860297958756403,1.699074243789471,1.4940562770314747,1.1490034050106415,1.7092902559973258,0.26250455833932074,0.10472022661988922,0.3667056908020511
31,0.058,0.07414473616617176,0.0012981225994873533,0.17148310507293524,1.4533114828174862,1.2840105350782838,1.6719975451986375,1.4411410160139473,1.1546125671385405,1.5744804693292784,0.14577317383026742,0.06182387671468218,0.39326656429113804
