,bl,error_dl,min_dl,max_dl,error_ac,min_ac,max_ac,error_dev,min_dev,max_dev,error_lstm,min_lstm,max_lstm
0,0.0,0.08460730831715008,0.007017697040651761,0.22661898689451623,1.3611802794018306,0.99939500170282,1.6425383959960798,1.4269841674136317,1.1801084122090468,1.7623179494834642,0.1900730197946216,0.017971491214692534,0.44645542544316896
1,0.02,0.09419359059418791,0.005763172240634535,0.22315748737689697,1.3730411036475814,0.9797425430683091,1.6581529344786818,1.387441382493559,1.1296423600187697,1.6001368934634346,0.20544148735613937,0.017002015966656295,0.436258679207505
2,0.04,0.10461615507138448,0.01206157959152308,0.21457417507615506,1.3868718164200369,1.1536804218844419,1.7072291309733534,1.4437003373285449,1.2054977204488329,1.6234234988687846,0.18603268761955127,0.006204900544268641,0.48552634464967714
3,0.06,0.0755187698706622,0.011164762632042961,0.19548282494229222,1.3691569296363293,1.0053682272725608,1.6549946126202488,1.412048221622545,1.169941384708458,1.6430266705203755,0.22311356160312962,0.029198371598575988,0.4497840981436593
4,0.08,0.0637827907869065,0.004635119604122514,0.16722371705462533,1.398304027557183,0.9356589634341634,1.7278672475995616,1.3983176716458596,1.199075456244432,1.5888926578920135,0.21813189242660896,0.01129777616193643,0.4345946100387778
5,0.1,0.07912562079536033,0.009305552133852212,0.19313686264536178,1.36295786173061,1.069864141863902,1.599493428816725,1.4014279522570232,1.1800447598012613,1.6450286123997022,0.23223170922730468,0.026566352635227133,0.4677480977196855
6,0.12,0.07071629175222807,0.006230972286208703,0.18712706330928197,1.4566903617078903,1.232838825564458,1.7179009885628225,1.4084946565598415,1.166034444949052,1.6274069435190641,0.18885377667518824,0.007504264265771485,0.4464004128026473
7,0.14,0.08273237626647603,0.0038738580183571712,0.1984104056608555,1.4608955324677988,1.2375026489063137,1.7180761230573545,1.4155296837655027,1.1498559037810459,1.7769760693754435,0.20574180263394326,0.007593591808104213,0.449199343252913
8,0.16,0.07498382154214496,0.002705183326634856,0.18434880660407305,1.4306959342319283,1.0333334394857334,1.6810781809604973,1.462645713598791,1.230041904182157,1.8124457390535471,0.18187308706960878,0.028666603018839117,0.3836489319557101
9,0.18,0.07019601579423741,0.004192423994209273,0.16201395830919327,1.438059006576385,1.1809978972077286,1.722118974536771,1.4237240456647264,1.1988921910734773,1.70666561979456,0.19861134316299286,0.009705411475759906,0.46400962739360163
10,0.2,0.07872688342815956,0.0056216668322755506,0.21839505506033002,1.46025606046059,1.1570433949862144,1.7997907214264766,1.4255228263628865,1.1675613344278437,1.7290747809419906,0.19660421249416157,0.0048898845479055835,0.4608449964076074
