,error_dl_1e-05,min_dl_1e-05,max_dl_1e-05,error_dl_2e-05,min_dl_2e-05,max_dl_2e-05,error_dl_3e-05,min_dl_3e-05,max_dl_3e-05,error_dl_4e-05,min_dl_4e-05,max_dl_4e-05,error_dl_5e-05,min_dl_5e-05,max_dl_5e-05,bl
0,0.11240265287995832,0.00619387364261167,0.2180878189472996,0.05895797839342548,0.010601570531287685,0.12113276862223288,0.08308869649371795,0.011876108351131549,0.16398534966676856,0.08527837656887585,0.01145685316285009,0.2194203579530016,0.056833784043919644,0.0019268488600148492,0.1198685913018777,0.0
1,0.09383351811954119,0.02341027238560476,0.16452222499422015,0.09611562126312581,0.010398736626423556,0.24407917191948664,0.06941677781136048,0.022209972845959512,0.14326730178220443,0.13038642824999314,0.027743098157502692,0.2736321204927731,0.09128353242825714,0.01203450948791121,0.1606403088303556,0.02
2,0.11242443146460608,0.02400982952329001,0.28698327155221653,0.09687590691457354,0.003607669392449309,0.2214131115232362,0.059746824897133385,0.005636973733070825,0.11406868086234775,0.1186664718958181,0.017711109015255695,0.3397894339177801,0.11302362969184579,0.01428323661346693,0.24256329980821503,0.04
3,0.07676120079766399,0.021850134410113492,0.15076952749779732,0.07073899708292058,0.0038536644145904524,0.23087755634026025,0.11607054970493635,0.04765705023273924,0.2077293344574137,0.07047106306937975,0.003477240676886403,0.17418397297428226,0.06699437055534048,0.0018254183307865705,0.15806642289345024,0.06
4,0.06772534225301467,0.0008227684324888894,0.13836868700738766,0.06871731490119949,0.007468121619237808,0.18451015641263385,0.07295747850453148,0.005822478122955477,0.1499059993727674,0.04466253933415079,0.010405835416312155,0.09746218416650503,0.06746966144559416,0.00729834809523731,0.1430060039013186,0.08
5,0.05685932651436273,0.006668817479754856,0.1783689058053775,0.08543686233928041,0.008969779665830941,0.1876682298016544,0.05746726957276345,0.003583333523978339,0.18473393101846164,0.04697668749814733,0.004784580297450946,0.13016379481042037,0.0855546348744537,0.0011701473620078346,0.22090168521773737,0.1
6,0.08802211775585712,0.015461575174928624,0.1755857403830055,0.09012208370178212,0.01765882766127876,0.1496224347962893,0.06323933097125418,0.003511495299455291,0.1714589001245841,0.053392767374087324,0.00696511568163972,0.13289193520758597,0.07918202258983327,0.026294423911372312,0.15378666986206208,0.12
7,0.06262828200072065,0.0015250862189804197,0.1593380794513754,0.08430151713443465,0.019673424357170673,0.16275552466109136,0.06511208163815381,0.0019880947707381458,0.1494261577650071,0.06655843370118535,0.001081976160711797,0.3072485081921392,0.06277895045641524,0.0054161163690334795,0.10438448926835626,0.14
8,0.09512123603009033,0.00416071323812281,0.25848563760486204,0.10739557758223595,0.032283340414704535,0.1731192217038881,0.05114755272791408,0.0012981225994873533,0.09858191163299335,0.0730952501430342,0.011197535762657716,0.19113271917370717,0.07029229790544785,0.013805727741034451,0.13515722224527227,0.16
9,0.07926650891255724,0.007246368411615619,0.19382999652451818,0.0710390759706491,0.01635428586620361,0.15428498029589868,0.09277579772986905,0.007587113128009606,0.2038963700709378,0.07681362069158934,0.0020449325641006184,0.13844278789887676,0.08271665940779008,0.0034819881654702526,0.183516164574298,0.18
10,0.07269959165867265,0.011832723901401594,0.17635237276554433,0.12403876954775025,0.010634649108603882,0.2691077858983745,0.10626232167718803,0.023394465782747863,0.22054333259208256,0.11983835168500327,0.007623524726488988,0.21527210633237154,0.0680627106936229,0.0015065313749894765,0.1709736226591717,0.2
