,kh,error_dl,min_dl,max_dl,error_ac,min_ac,max_ac,error_dev,min_dev,max_dev,error_lstm,min_lstm,max_lstm
0,0.023,0.0426273672120761,0.0426273672120761,0.0426273672120761,1.6515447765173987,1.6515447765173987,1.6515447765173987,1.72992853043619,1.72992853043619,1.72992853043619,0.18471026716634062,0.18471026716634062,0.18471026716634062
1,0.024,0.04199493707729075,0.04199493707729075,0.04199493707729075,1.5851454644702225,1.5851454644702225,1.5851454644702225,1.7036546843790974,1.7036546843790974,1.7036546843790974,0.18870921783587324,0.18870921783587324,0.18870921783587324
2,0.025,0.080496544210017,0.080496544210017,0.080496544210017,1.526522212336556,1.526522212336556,1.526522212336556,1.5838105774794358,1.5838105774794358,1.5838105774794358,0.016063780451016915,0.016063780451016915,0.016063780451016915
3,0.026,0.11778381504709716,0.11778381504709716,0.11778381504709716,1.716959995357422,1.716959995357422,1.716959995357422,1.489329463705001,1.489329463705001,1.489329463705001,0.08812513971139699,0.08812513971139699,0.08812513971139699
4,0.028,0.1348589582539325,0.1348589582539325,0.1348589582539325,1.8756547538533932,1.8756547538533932,1.8756547538533932,1.6648215934775394,1.6648215934775394,1.6648215934775394,0.06265489886968559,0.06265489886968559,0.06265489886968559
5,0.029,0.12685522957267958,0.12430672041221415,0.14313286431401925,1.7564657218591249,1.4857456839093826,1.9786214468403598,1.633349588350954,1.3196346939964068,1.7124258342573704,0.1329869757498389,0.07444081113863074,0.20794622690129125
6,0.03,0.09114142526302298,0.01029994128079369,0.1278234783242995,1.7010835445333747,1.469063505983765,1.8260529268987091,1.6775805943489817,1.353323089795938,1.7693587238538664,0.14004459850218312,0.07270232993266797,0.23426358553171295
7,0.031,0.09319240488238417,0.02099530687491497,0.13215343315164924,1.8412660662787501,1.4173982609976195,2.083661793933506,1.3302913512549048,1.0290642656259614,1.68022591911486,0.1332009669280742,0.0372721450284278,0.19842141728972232
8,0.032,0.10567710828987101,0.04274176768815019,0.12906224380921946,1.6165439900297218,1.3631525227002763,1.6870148556127231,1.6370581801992667,1.5181490241372433,1.7376110162706302,0.03999978984330245,0.01524817796462095,0.08881632313611573
9,0.033,0.04262308948216598,0.0040380825511780235,0.1716098024927348,1.5868907733555053,1.3848762223166522,1.7128600719759097,1.4833675989115909,1.3469776412692287,1.5346584054775005,0.10208696230882341,0.03335089463620979,0.2868000853771698
10,0.034,0.10850818199415325,0.041693483284132776,0.17608235938568859,1.472060448364504,1.3116778494009858,1.65414236318872,1.6222239755271162,1.2656958805360354,1.809007319062441,0.17596805162012588,0.018678289858388347,0.2466447254283703
11,0.035,0.10227906102755391,0.011164244796674256,0.1564973659832999,1.6423154970616918,1.2695446382751099,1.9057595452109746,1.5961452702553345,1.4177163252491352,1.764640662349672,0.2151540487462421,0.09849949083654087,0.31200750973251296
12,0.036,0.09686832232920077,0.0038215818263788665,0.22664854991824016,1.3159344321778235,1.2342245237381124,1.5464656320773245,1.7399706161183426,1.2885799061025676,1.966194299088428,0.1021369712915443,0.03842736823596084,0.2207877774552789
13,0.037,0.1197532557702934,0.0605473209985935,0.36090201965967966,1.6406087845230086,1.4418074109351646,1.8060538586495405,1.6211698963941064,1.3231297646335414,1.8080001233195635,0.17952900736043761,0.07170853585004736,0.32875824472639376
14,0.038,0.06754312886716028,0.01726400905646226,0.18254606887171554,1.5070162711799107,1.136286828863409,1.8323114725262915,1.4837137674867409,1.3238859392659597,1.569301576743176,0.11715632921709858,0.02526045502615247,0.3217520888378302
15,0.039,0.05861750153512904,0.0004171007425680032,0.112721571558846,1.4282274208707277,1.1568910313684764,1.8603462825934476,1.4535559010602774,1.203831003735224,1.6610329381829358,0.1416151990851295,0.012170639724064182,0.32121849949817916
16,0.04,0.06976595183455751,0.049112962902130596,0.09062548306523552,1.5839555264194956,1.4659185273328825,1.7004430076690078,1.3581006882710092,1.065254824810563,1.491154555724563,0.2048140642090109,0.04992263671854934,0.3545944791435769
17,0.041,0.06911330225288646,0.004393406039418372,0.14191943773044516,1.9470796916617292,1.4774598833071642,2.2417971559818857,1.6772414984362938,1.3826664903082415,1.9130523977104477,0.1430723193498146,0.031414837086531706,0.37989166866649304
18,0.042,0.08241571983538949,0.005482045707320418,0.24001479315203436,1.7341482271177338,1.3067691060899618,1.9648024915352589,1.4858850265008576,1.0706706904255563,1.6639240134427697,0.20005336624040432,0.07667443632155273,0.2683342797662771
19,0.043,0.07397757862804313,0.0018727866421400674,0.21670293852862166,1.9053205950708694,1.35257905988519,2.164418341761351,1.6717610484402547,1.3589341303980513,1.9265605773687169,0.14920149214939538,0.018838645778278696,0.47959017139322563
20,0.044,0.10555019083397783,0.010014748834246757,0.33871520482071954,1.8409529373134392,1.435204249050403,2.0824205232808315,1.5408958502022765,1.454773140179646,1.7313020524874652,0.22912066443589896,0.033774196252454126,0.49377311497364956
