,kh,error_dl,min_dl,max_dl,error_ac,min_ac,max_ac,error_dev,min_dev,max_dev,error_lstm,min_lstm,max_lstm
0,0.023,0.10640687477297997,0.10640687477297997,0.10640687477297997,1.784392621781798,1.784392621781798,1.784392621781798,1.8436222103123254,1.8436222103123254,1.8436222103123254,0.19733889499419446,0.19733889499419446,0.19733889499419446
1,0.024,0.006147641344229017,0.006147641344229017,0.006147641344229017,1.737230688296604,1.737230688296604,1.737230688296604,1.6760488179020527,1.6760488179020527,1.6760488179020527,0.09790415095180864,0.09790415095180864,0.09790415095180864
2,0.025,0.11275590123462965,0.11275590123462965,0.11275590123462965,1.6620518652283753,1.6620518652283753,1.6620518652283753,1.5975272465423633,1.5975272465423633,1.5975272465423633,0.029464538254361076,0.029464538254361076,0.029464538254361076
3,0.026,0.15391456335783152,0.15391456335783152,0.15391456335783152,1.8135423740521817,1.8135423740521817,1.8135423740521817,1.485546064892436,1.485546064892436,1.485546064892436,0.0440676680633029,0.0440676680633029,0.0440676680633029
4,0.028,0.05584962036146717,0.05584962036146717,0.05584962036146717,1.8429592965106758,1.8429592965106758,1.8429592965106758,1.6282545286154864,1.6282545286154864,1.6282545286154864,0.11864185521017687,0.11864185521017687,0.11864185521017687
5,0.029,0.03758535168007294,0.008843627670243392,0.11648692426428564,1.751199122589083,1.6395700789359013,1.915930711311869,1.6248502676999312,1.2990380317815273,1.682095906489703,0.15208600564036703,0.10522844463372771,0.18912231573487487
6,0.03,0.07947744967528547,0.013198618822269303,0.21030884956491538,1.7109165663445,1.4879978326374594,1.8122572032420263,1.6403397171591683,1.381785543089294,1.8442463309803683,0.13520493761039634,0.09499037485122325,0.2342889648264857
7,0.031,0.07874672798876729,0.013071138012493575,0.1293720148399259,1.7951267146737486,1.4557917291435958,1.9491412180121257,1.4439370799254734,1.2166888110868181,1.7169754727864517,0.1489780216284211,0.00019046584311394965,0.2897680655569004
8,0.032,0.133414233112528,0.11160202208940484,0.182262914117719,1.6341576229224863,1.4363086543097203,1.6947467634322764,1.644198549055713,1.5038432107056905,1.7503089965609429,0.030703556451128978,0.0013277235179714438,0.0657923712386804
9,0.033,0.08349832312197823,0.05010400386795916,0.22670917563304221,1.6001041916680274,1.4231784697312502,1.6952985666373341,1.522258679653918,1.3481268517912268,1.588469943124467,0.12561090822868595,0.014157002570969255,0.3272783129753395
10,0.034,0.07243032640710255,0.01351207080715535,0.13485278054199,1.5364831526835645,1.3952998445055442,1.6731313111115296,1.5903081110629675,1.4254921504676032,1.780747433945146,0.16210352994768815,0.06650942085356706,0.31483213012803873
11,0.035,0.06204943695034517,0.0003716290775696347,0.21707582593904504,1.62780295797462,1.3566788876903082,1.8543279414336473,1.4874998112473052,1.2769640181061932,1.6121765616784056,0.16060506050570283,0.05172568047585769,0.25961364211099164
12,0.036,0.0384043485858942,0.0004566222680818989,0.14153186923966599,1.375792641876068,1.3269113554435132,1.5191698174425325,1.6822800974432093,1.2549948815152245,1.8695995631309252,0.1435974124764686,0.09490345183867348,0.18235653312385516
13,0.037,0.08089684837327697,0.0010591330162087558,0.2195927996105621,1.5881942394363353,1.4125644395706667,1.7449899617229034,1.295899086024001,0.7229560320970726,1.6042682983390724,0.14536060913138443,0.09206041018168051,0.2242192859119814
14,0.038,0.08980778737799477,0.04617303963888035,0.13374998255746742,1.4935899207976968,1.3047198258179757,1.6713308562849167,1.5389158915748127,1.2656498037533221,1.655438794571594,0.13568154490267728,0.06784819923498342,0.29408152504349444
15,0.039,0.06748879275533794,0.0031316491503691523,0.10435912330165535,1.4525787224294415,1.2978897956882347,1.864285975375002,1.4645300852480696,1.2156823069229081,1.6627260632334573,0.1428425053118561,0.006847841627016025,0.29696648826954114
16,0.04,0.12657095789271447,0.07181827700259635,0.18205092763612452,1.557307467201981,1.394016129558364,1.704205727406912,1.4292690953084572,1.235995874882635,1.5311201483440604,0.20086845835198813,0.08596051400161556,0.31581323311865006
17,0.041,0.08421519008861651,0.004281942728087214,0.13214127445057353,1.8669514523228694,1.4521889308520295,2.0678740318293864,1.6377492625381698,1.4021657406781556,1.8494259999599276,0.20726612496666966,0.119785206897649,0.37611182066438503
18,0.042,0.14139523928295772,0.019293564148184766,0.21363457643760944,1.7268188944309966,1.277424202380901,1.9500964139876085,1.463845283110553,1.2346894794544436,1.6342753487886248,0.19569083032620782,0.058745529831845326,0.3580844761491519
19,0.043,0.06979277408124351,0.01854574739253145,0.15177704769151967,1.7898689530244971,1.273679071757314,2.006228089641053,1.561177612031425,1.3412433704740372,1.7826366555598825,0.13487464487437692,0.04053031294517971,0.45730253029991613
20,0.044,0.0912081970349814,0.0026392372811977934,0.2774460856083342,1.76678679930532,1.486632986448386,1.9688311301108183,1.5071075104534548,1.3252400736962846,1.7280404734873307,0.19615715328714325,0.001072468905440843,0.41281904350917875
21,0.045,0.05129942066778512,0.011741191079588093,0.1024445519765252,1.7913581687814453,1.54887804739715,1.9551112248084437,1.5961679866615792,1.338465117088389,1.7823605603779114,0.17881796806470043,0.10174358237382948,0.30254718215799487
22,0.046,0.08034905360501175,0.015902799138959027,0.17288594023030912,1.7972151675606869,1.551837136417624,1.8966411048165754,1.7050865439309548,1.3551510080293194,2.010026287980274,0.11368720151971158,0.023197552340057274,0.2622667908826427
23,0.047,0.11580782739054757,0.10720400754097344,0.1322685183674075,1.7194555663530886,1.5905545926115208,1.8281446121532643,1.4758160785071155,1.3139754389542504,1.779508072685347,0.1349109574985482,0.05433920563626192,0.2933803839983771
24,0.048,0.05378357715657061,0.007960426746993269,0.0859317240441712,1.6728710924376917,1.295176160921341,1.8106148346692559,1.4662630281853941,1.3800842156006654,1.5177746920870612,0.11124135315861221,0.005651028987832875,0.2647528984051923
25,0.049,0.11188722403124367,0.006855024275230794,0.20107911389877972,1.6381574412094513,1.3677098963956833,1.8447259485522132,1.4736305690564375,1.1632316686584334,1.6879776803474675,0.1826611816778985,0.00282318649132975,0.4401369239463187
26,0.05,0.09338967775456496,0.027614313650170565,0.14666240351292603,1.7998958832133667,1.7034265852217245,1.9157401530207951,1.6085691463705465,1.4320813916939603,1.7465412802826197,0.07038101738748655,0.022774243456065737,0.10479899980489267
27,0.051,0.09822329143750377,0.016197049928134963,0.19736246968409152,1.7382065907992563,1.5454019734474818,1.8588864010197428,1.46915890148038,1.1207166935175372,1.7340026582988124,0.20763290801162107,0.06413068750622077,0.3897029427218337
28,0.052,0.07102620480416327,0.0026667197359255567,0.136969055688495,1.6856880594488917,1.3185587062879256,1.8342349685855674,1.3948322573816165,1.2559393361838032,1.4807960685714745,0.150754384099792,0.07168214164796229,0.33848576696493826
29,0.053,0.07443153141805779,0.02962737296842611,0.18482600991116094,1.6127849668018674,1.2941917936161567,1.7702205514152756,1.4231280338824892,1.136227214075552,1.8555556694629678,0.20661872080105564,0.10207616221265756,0.3849041347984626
30,0.054,0.10525442298274273,0.05428212868568361,0.23584401695950638,1.5662329263475725,1.3468283401791412,1.6962345979780042,1.3130697238329754,0.6931448136989236,1.6508506048805438,0.15588478201504177,0.0655716400095215,0.42412180198813354
31,0.055,0.055458959852779766,0.00012238482211458763,0.0965887969981087,1.4096350888476452,0.7397378962241001,1.8568216418605277,1.5391033198674315,1.350674923721765,1.8097372858302434,0.1457443296397585,0.01889819972960586,0.21259880868557954
32,0.056,0.0823431087682111,0.015968550452758756,0.1823157863843767,1.6098225189440671,1.4727151113603225,1.8745269704312595,1.5487333743635723,1.4680945892930928,1.6456372329683848,0.069781590317385,0.0047070808369634315,0.254314928980539
33,0.057,0.13437193412844553,0.007553427585533658,0.1901738941797841,1.5108991260231008,1.3084302432965236,1.674827375297962,1.3014222120062118,1.0221037906437138,1.4620799643411817,0.20828251042849252,0.09034457410233318,0.43668130575455516
34,0.058,0.21381846534977497,0.1692186478285753,0.26337381815110794,1.9639017782372052,1.9357633742124905,1.9892263418594491,1.7161889712127596,1.663780705712587,1.7633564101629151,0.13145356581446693,0.10821787254358267,0.15236568975826273
35,0.059,0.09480699262121323,0.02199830122230782,0.1588566182097602,1.6092253024390473,1.4844085178011688,1.7884323706884853,1.3868265537301934,1.1278112416455839,1.6675960978398807,0.15122547142870815,0.07661868822749014,0.29574106287598045
36,0.06,0.0756327492547889,0.01365807500734568,0.1270273483743946,1.6705196213179323,1.319445299942505,1.9117615879030494,1.4971751258073578,1.2687361949954856,1.645859846106326,0.16305325374948176,0.0671988793330099,0.36977768386997095
37,0.061,0.12174418429176097,0.0348744973218277,0.2593435161253984,1.7466564750331783,1.5806810929276942,2.0444140045832255,1.5784861046243968,1.3156773742370709,1.722565853318898,0.16740590789707557,0.040230302492153716,0.34505391721965784
38,0.062,0.0555309721379204,0.006772427218969912,0.10797277778614128,1.6983660666730849,1.3699537475753738,2.0339308641541005,1.5699763756004923,1.413010729772236,1.7946802478531279,0.18152602806011583,0.06331818878621584,0.3435797050234693
39,0.063,0.11260020720065272,0.03279868222553135,0.32587787677276975,1.6619805108730155,1.3617085450786413,1.9400253094486526,1.5267750001735887,1.2974604228650788,1.715118610006558,0.19208122782530315,0.013947824091050703,0.40596274484967926
40,0.064,0.09520098657850526,0.002408812494036268,0.20345830189649183,1.6977491308100017,1.4478054104487221,2.0866495405245615,1.4226706648322813,1.317304004608857,1.5199946343175865,0.21866832199469685,0.05584977219283363,0.32120001572712126
41,0.065,0.09348771320877196,5.006039236280425e-05,0.22605636452040997,1.58893052805331,0.9813134827277057,1.9621391939067125,1.4519766139984056,1.1354524725960813,1.6885396376119859,0.20106950084547962,0.0361537454852899,0.47989646082119247
42,0.066,0.12397171063062508,0.09676287703923091,0.14199606259918762,1.6052623731290911,1.324885336256843,1.701887340177287,1.5056602087668076,1.3039371950706935,1.6723307744803044,0.10273618537182118,0.02215870693053117,0.2997759366905068
43,0.067,0.15894140870594614,0.03580073294715466,0.2618556767657399,1.701340022551375,1.382432598317977,1.8109459427808563,1.491058809193208,1.3409508362417915,1.73610695492226,0.18826625931009108,0.08997351835298187,0.2622490018086475
44,0.068,0.06025665027484283,0.012945065936405244,0.15725935218260365,1.6690243259314153,1.3996746011979073,1.8993248705436079,1.6853861967460262,1.2306062708880667,2.2301366311064315,0.12851362199528799,0.04537947829452648,0.34511407232966446
45,0.069,0.09919854652182072,0.010573316626050369,0.20457948092598668,1.5414565378484708,1.303450725926895,1.899517054843975,1.547177351204765,1.0371696119324716,1.8602794048578264,0.16541773620925673,0.042911239355736874,0.3797030724833876
46,0.07,0.0812040043202694,0.0010366509942473343,0.1719862429706627,1.7849080446787666,1.4303155384254418,2.259924884135918,1.5631216079538612,1.3090631160880477,2.219711709766054,0.1754175086059586,0.021237255188819852,0.3502134667175822
