,kl,error_dl,min_dl,max_dl,error_ac,min_ac,max_ac,error_dev,min_dev,max_dev,error_lstm,min_lstm,max_lstm
0,0.2,0.10716105636054159,0.029429159485783122,0.2533863607911466,1.5614480433860907,1.256314634646329,1.8698529505513208,1.4542234658548963,1.1784003371387404,1.9367749909013026,0.24370548775179635,0.04036394445430371,0.4532119743621101
1,0.22,0.09544868032504648,0.012887775477836073,0.20372177173303585,1.5230517985657406,1.208851678462646,1.829405542160804,1.4353052423835657,1.0436963895027875,1.776009325267481,0.2353352406545482,0.010908583691323864,0.489632973346979
2,0.24,0.08222458113214179,0.010778973617035266,0.17086023077651075,1.5214744543898655,1.278479413046994,1.8740892607744455,1.554238711763648,1.2018025928686271,1.9583588525177025,0.21557807205242935,0.012820039747944347,0.43975847039131244
3,0.26,0.0869810210555896,0.0014860278973003558,0.22310345764928186,1.6048877619967377,1.324750872007504,1.8743187966759898,1.474846102267996,1.0840919024803686,1.8405760884685123,0.1569117418938608,0.019007404417495394,0.3900922595923573
4,0.28,0.08901071243572659,0.011921068663494079,0.21438780990873701,1.5368952451304814,1.2882297481579061,1.8390603656093087,1.456118060570899,1.1392425422032402,1.8943290106603277,0.21330755758340023,0.028564118822070664,0.4195382942000857
5,0.3,0.1001258422050533,0.012312223665114018,0.22243544141677793,1.6417229724336564,1.2917824358260392,2.046267817882271,1.4521281028726938,0.9090963882701216,1.8219570203126378,0.19106437881704216,0.011371112255699412,0.4122867018716728
6,0.32,0.08806724677269592,0.012640249435485749,0.20710273840848228,1.5765751556060905,1.0822657379022107,1.9259670744134492,1.3785311521174348,0.8817771512891844,1.777394088235258,0.20672221790200343,0.011990228904425485,0.4394248550551369
7,0.34,0.08636350505502109,0.013417379780180089,0.21590927525659398,1.4740465015330344,1.2445587642804752,1.775095994864434,1.444402750967748,1.047114345821474,1.7436392544540267,0.1858083424041717,0.011439951499943863,0.40034562457602235
8,0.36,0.08220295535765483,0.0018727866421400674,0.19139940880593587,1.7722987436214086,1.3958800430402951,2.1572834320722585,1.5211381242448327,1.2294482492470034,1.9130523977104477,0.1862494987555442,0.011753149437320753,0.48181856343754714
9,0.38,0.08517239240902345,0.005064454820361529,0.24001479315203436,1.5361073361715842,1.2059534142238835,1.8981966712933345,1.4439146552444562,0.996036395609552,1.8080001233195635,0.22298273656485146,0.03842736823596084,0.45614745440716664
10,0.4,0.09871276754722035,0.0040380825511780235,0.21670293852862166,1.5540857404264323,1.35257905988519,1.86192924737177,1.4766154826511475,1.203831003735224,1.7534791523077948,0.1820614232835791,0.018678289858388347,0.37989166866649304
