,kl,error_dl,min_dl,max_dl,error_ac,min_ac,max_ac,error_dev,min_dev,max_dev,error_lstm,min_lstm,max_lstm
0,0.2,0.10444338902559343,0.014527118770625206,0.26604236334895554,1.6124583047817722,1.3487418565205715,2.1150371242569532,1.4826366632560224,1.246777936592992,1.85920216311356,0.236846698977285,0.02971533275801738,0.502787823568066
1,0.22,0.0935216265229583,0.0031739785753444696,0.2126574533262672,1.569310684680029,1.2323311620568485,1.9739382595201511,1.489880393411232,1.1001004146690996,1.9488357604799271,0.22684848023812004,0.00940231835980145,0.4545952704024206
2,0.24,0.0782629098033426,0.017522127282458493,0.16931617569386373,1.5741505155877655,1.2578185472875012,1.9555742043379514,1.530762882993024,1.1757512766657685,1.983058729240335,0.20585293763590773,0.026020791133666947,0.4279750466496697
3,0.26,0.08844329872268154,0.007187533599360363,0.1921367465397333,1.63868678704725,1.369765009879712,1.9083877992001341,1.4952825753184336,1.0541211255529863,1.9523599771259323,0.17318101636005603,0.02164963557092522,0.38723328771089305
4,0.28,0.09307358959427653,0.02019779565243956,0.2285402768592585,1.5566713857687393,1.2674479355995663,1.890514147123904,1.4220584752469079,1.004719308957064,1.8440052281777104,0.2170349070836613,0.03787310233420293,0.4194092789935151
5,0.3,0.10486463757460579,0.0168468309272869,0.2618556767657399,1.619854772024806,1.343440447761391,1.9621391939067125,1.4787776542739488,1.1683495973409526,1.7860440500687265,0.1707146747821196,0.021237255188819852,0.42068650769170624
6,0.32,0.09753605175332972,0.012945065936405244,0.2165240258997333,1.5919686348586755,0.9838546159661681,1.92767138033538,1.3639183000601327,1.051161265597346,1.722565853318898,0.2047171427107962,0.040230302492153716,0.4026270907913529
7,0.34,0.08547786413429279,0.0026667197359255567,0.20107911389877972,1.5241390742065004,1.306555410635955,1.80953779662568,1.4577443545666153,1.0371696119324716,1.8097372858302434,0.18833637687112018,0.019753555604102076,0.4002212059384618
8,0.36,0.09547737962501193,0.006772427218969912,0.19736246968409152,1.7306938132188199,1.374911057602491,2.0055792256952,1.4999615539237074,1.1354524725960813,1.7826366555598825,0.1857107526831096,0.005651028987832875,0.4132871417686007
9,0.38,0.08542215626306034,0.004281942728087214,0.22213347237065284,1.5385161687414708,1.2978897956882347,1.8543279414336473,1.4451989170217723,1.1551557845248006,1.780747433945146,0.21453888784582212,0.04617472917430604,0.43668130575455516
10,0.4,0.0884812367502285,0.006147641344229017,0.21707582593904504,1.5623958546690206,1.3215221671748716,1.8239080388084783,1.4725521532517678,1.235995874882635,1.7574129460379493,0.1680454652664056,0.014157002570969255,0.37611182066438503
