,pl,error_dl,min_dl,max_dl,error_ac,min_ac,max_ac,error_dev,min_dev,max_dev,error_lstm,min_lstm,max_lstm
0,0.9,0.10512962351460745,0.013046847552367572,0.23587963361570588,0.8417448126028989,0.07012039714045042,1.692781571357434,1.262345908843274,0.3629531264129627,2.267410978894843,0.21780927968950567,0.018566022998545095,0.6051016095948942
1,0.82,0.09362539627875405,0.006701769911905525,0.2613971280160243,0.7573590484620145,0.032657608260420204,1.914030603600881,1.2391162447574742,0.37534576822735377,2.031232128492416,0.21197913776974733,0.00661624033351228,0.7696792468502226
2,0.74,0.10476072009537829,0.009651235777431568,0.2403610943855512,0.9193934233495494,0.13879292735186044,1.7422668994672665,1.1364026914868572,0.14724772959533425,1.989540704487424,0.28519975325154356,0.011701977357159336,0.632471802272663
3,0.66,0.11976801151609127,0.015844591958732154,0.2363569487201735,1.0003428838583026,0.18782940878834953,1.8902693005149533,1.2329632349871174,0.17779301469181097,2.183206971058357,0.16563231739027942,0.029540903689558598,0.4121795924599372
4,0.58,0.12008228725066339,0.021049775485967304,0.31445473836807347,1.1554996322767566,0.13928318845499113,1.9617539026683524,1.2642707890029692,0.36210863903431395,1.8923235644983685,0.22402149497877966,0.023035217828166317,0.475465154253581
5,0.5,0.11398199280475942,0.008257498829432696,0.2576505531142953,1.0945401911991137,0.30503128254920103,1.6914798988593351,1.306066662582937,0.5435592725226852,2.233215302434473,0.20042097805530812,0.02235972398073877,0.49883822310668224
6,0.42,0.09688842345337752,0.006819221828811598,0.2552604447669107,1.2595403347918002,0.43288924069376117,1.8313896008103898,1.3297666686841894,0.2871735459479725,1.954261330288446,0.17470830585134892,0.02216601420197841,0.36634798779067973
7,0.34,0.11234490009083466,0.0026778356478263524,0.28374591486354817,1.3261688733334682,0.6248797274547142,1.84049919404523,1.3391612561195188,0.6823310071998363,1.810112825351066,0.17391156861908036,0.02177160214611697,0.435316977516449
8,0.26,0.10293463268553969,0.007181135992850455,0.23116470195992636,1.4706865230463153,1.0742921764551194,1.8151693166655887,1.423731772557335,0.8189433811322577,2.040413099994268,0.17195202926100542,0.00878279738143472,0.39588161910301845
9,0.18,0.09675680450689869,0.02181434847469022,0.22488291871771549,1.52442412934217,1.2808565464256794,1.8471278407685905,1.4776027772395215,1.0092147896685857,1.9103724152676342,0.14516935301686928,0.00864692780659985,0.3233265573782103
10,0.1,0.08965980790761575,0.01597878654013796,0.20737760324628204,1.5003709979362854,1.254554150203679,1.7330900063409875,1.4331825992904974,0.6274190022667341,1.8887638678563134,0.17942574871816636,0.01803166409948221,0.4114455945943951
