,ph,error_dl,min_dl,max_dl,error_ac,min_ac,max_ac,error_dev,min_dev,max_dev,error_lstm,min_lstm,max_lstm
0,0.032,0.07173398439219315,0.07173398439219315,0.07173398439219315,1.9451207728068536,1.9451207728068536,1.9451207728068536,1.6449458767432743,1.6449458767432743,1.6449458767432743,0.34093915923815077,0.34093915923815077,0.34093915923815077
1,0.036,0.14807831064473437,0.008700750222224107,0.2433994531631515,1.7709148161817307,1.652683445310509,2.02858084428338,1.9318938480131809,1.753880961287308,2.100047485873436,0.19273176416542653,0.15211799849588603,0.2546792272529707
2,0.037,0.14068410332437856,0.04537982257637029,0.15350168929213867,1.735890181414111,1.712670971708027,1.8146101351650847,1.8927534110834274,1.5125481560766645,2.031515698413853,0.24147880100047214,0.19966563882054753,0.2571100655185229
3,0.038,0.09117426648744098,0.005050793393122022,0.19187247573634578,1.6545871474935145,1.6081570997717618,1.7552131106763142,1.9096840016661238,1.7111210106826849,2.013073393588613,0.19153459421529873,0.13208634530083785,0.2591188440772237
4,0.039,0.09239281885929805,0.042939526986408065,0.2548066951879697,1.5969565990322796,1.524003121445662,1.6622182601362332,1.48230192092773,1.3002808628677516,1.539786839182935,0.13562804640202034,0.058035825629064924,0.1795286938190882
5,0.04,0.09208285872301651,0.08055785378020418,0.13818287849426586,1.611578375789779,1.6039212094772148,1.6134926673679202,1.629654619560561,1.5828466243324608,1.8168866004729616,0.09432325991842974,0.0062157716907466475,0.1163501319753505
6,0.041,0.05944309611972557,0.039875252086833485,0.08300616762362288,1.5410302453982248,1.302296005147245,1.7179997252087038,1.2444277299646294,0.8521733945644208,1.6210370627636042,0.04236378629301892,0.01256551040981052,0.06726184013683482
7,0.042,0.06111861550092598,0.055665322663290974,0.0663707863138573,1.5226720806918927,1.4615769742967144,1.5490122873015393,1.5548430426838886,1.5195147778409908,1.5883481147963554,0.03267375667133558,0.01579276756029699,0.04309577604412582
8,0.043,0.04213264372088571,0.010875419126829607,0.07338986831494182,1.354366967418678,1.0175563810840347,1.6911775537533213,1.5465979723420569,1.3627345125090953,1.7304614321750185,0.04850763245423292,0.020939791754282,0.07607547315418384
9,0.044,0.09070961982373482,0.032632116359983504,0.15912624515128856,1.515273310048897,1.4430131898200813,1.5680936552361995,1.473057939414439,1.2827025052819572,1.693770191399261,0.1944510285220261,0.08110313550713055,0.24640939457294053
10,0.045,0.15397259885309492,0.021328246719399313,0.2139768906621087,1.4967631693672538,1.4800599977214586,1.5249024653319636,1.359926757711881,1.163979711647458,1.5138096363939277,0.10053594750665747,0.08438665109459234,0.11484031458450751
11,0.046,0.0729483938712739,0.0729483938712739,0.0729483938712739,1.4288048293068927,1.4288048293068927,1.4288048293068927,1.3448435752521077,1.3448435752521077,1.3448435752521077,0.12503742069592472,0.12503742069592472,0.12503742069592472
12,0.047,0.06635356270893607,0.06635356270893607,0.06635356270893607,1.414331439378451,1.414331439378451,1.414331439378451,1.3211830373891997,1.3211830373891997,1.3211830373891997,0.15844768592101943,0.15844768592101943,0.15844768592101943
