,error_dl_-1e-05,min_dl_-1e-05,max_dl_-1e-05,error_dl_-2e-05,min_dl_-2e-05,max_dl_-2e-05,error_dl_-3e-05,min_dl_-3e-05,max_dl_-3e-05,error_dl_-4e-05,min_dl_-4e-05,max_dl_-4e-05,error_dl_-5e-05,min_dl_-5e-05,max_dl_-5e-05,pl
0,0.10898898335928223,0.040009566219529384,0.23541110882249355,0.0970991446605809,0.0003705058061543633,0.23052737631088094,0.11496283018084616,0.01741591058031516,0.3064801782704096,0.1738530972611033,0.015327638178666966,0.5701333908698277,0.10151961261654552,0.016146255824920554,0.1860760707778353,0.9
1,0.08824605336388633,0.005492538074831353,0.1865089428004011,0.1008796286983759,0.0005767944097845044,0.2508420767487098,0.11821795551252914,0.005640810810067781,0.34493114066919395,0.14066223136487369,0.03396436456720816,0.28434802852703,0.104114643034617,0.014540113755656234,0.27736130233066725,0.82
2,0.11335470689877365,0.030269770717844396,0.3221737992390192,0.09904287607562431,0.0038816821594254433,0.26633894295380056,0.09428167527569546,0.02435900086666694,0.20497766011454166,0.11434239197339376,0.008956939075572058,0.2322187350443401,0.10927490276372018,0.0024560138296369593,0.26742029125773525,0.74
3,0.12612850163984662,0.011517599360921225,0.2268388764585739,0.08321530544764673,0.013373286999821446,0.1559988193761305,0.09855263843168452,0.002072266011388389,0.2282215529371718,0.1043361954546839,0.0007103760646941267,0.25505389849369503,0.09578071363978305,0.0003418491575537781,0.2305300394639128,0.66
4,0.11780434940053874,0.00025416330965256657,0.23027711781109583,0.12243141409690823,0.02184901257348629,0.32167723094595924,0.10646180696329807,0.019616092921130684,0.21151130258617248,0.14022304036500546,0.06562643392222793,0.3073545446646485,0.10209365784606879,0.0019788170244528884,0.24864703845086097,0.58
5,0.1425135127969658,0.06975220577052298,0.24758842157927477,0.10626382777205645,0.007756296186352721,0.31806629248011137,0.07067904147264131,0.0002574297790999409,0.19432175722241127,0.0990079426954337,0.0008501319461295164,0.3130256174646497,0.08720753344040935,0.031157760680476675,0.21477766544105695,0.5
6,0.09784786971437442,0.00874102641208512,0.2034853055042503,0.15249392611209497,0.01857726185874881,0.24268377573775715,0.07564370781174545,0.004845599283146482,0.16788735542203667,0.05531052776156038,0.014742092941746823,0.1223948382794704,0.09000458294765944,0.0060566402784845265,0.28323700914317945,0.42
7,0.07311740761212415,0.022927252432464986,0.14440576004903155,0.08648947440635996,0.011479829838781073,0.21851616547434416,0.08161751476630921,0.0012929197187263287,0.15168323181063653,0.05799136492782088,0.013884461315740495,0.1048220831229488,0.16753917581722955,0.0448141907863674,0.5011928505378592,0.34
8,0.10977328266532752,0.004835581635966461,0.31656321842679297,0.09142208480674989,0.0009611570752792037,0.26304935989803846,0.07919865290945649,0.02751374673502448,0.1693143912350061,0.12402479670322153,0.0221864088675394,0.30267709270459975,0.07007963929298906,0.0019154034693931964,0.12859501382883942,0.26
9,0.071095121844791,0.009397873737287388,0.227952124048467,0.09060071885121167,0.048190700250119844,0.22419726640866625,0.12927484968606104,0.016937366366246903,0.23536862716385373,0.09425367807147952,0.016741464859637407,0.22564159558942157,0.09304932588220122,0.012219358049615705,0.21182821605699392,0.18
10,0.09862788912881976,0.0076195471870488625,0.2139768906621087,0.08602603974135156,0.021328246719399313,0.15912624515128856,0.07021905416019145,0.010875419126829607,0.12486084136019669,0.1058825187189659,0.005050793393122022,0.2548066951879697,0.08324176764968218,0.00473478547442347,0.19662445297022627,0.1
