,ph,error_dl,min_dl,max_dl,error_ac,min_ac,max_ac,error_dev,min_dev,max_dev,error_lstm,min_lstm,max_lstm
0,0.032,0.12254384499467912,0.12254384499467912,0.12254384499467912,1.620073118486184,1.620073118486184,1.620073118486184,1.5564434464235886,1.5564434464235886,1.5564434464235886,0.4291655244308108,0.4291655244308108,0.4291655244308108
1,0.036,0.1810268211282332,0.13211466339628575,0.20737760324628204,1.6702529401479378,1.5722139976388847,1.7330900063409875,1.8355540435147621,1.713261970557369,1.8887638678563134,0.13809063157213877,0.0033144590435426804,0.33758930603335024
2,0.037,0.08720917592661367,0.052766944784111015,0.11994470438529072,1.76469437458467,1.555830837912637,1.8793686786848038,1.8499404261876913,1.5716840027977252,1.946107738323399,0.19626030679496287,0.14033300857265732,0.2433386236912551
3,0.038,0.08085406068335944,0.024135028202661765,0.13379166717929192,1.5900554729426724,1.4944344970551253,1.6620524358268849,1.7925879891763443,1.7177743836846693,1.9249522165651571,0.18216818747989896,0.15050620497336345,0.2592599448358873
4,0.039,0.10398824796052955,0.028569458957786273,0.21126897687592477,1.4974782694333637,1.3145815057253298,1.605900223400962,1.4405726411506141,1.0641059764638219,1.5617155937083433,0.12202424012671474,0.03454653100996768,0.18238081739071424
5,0.04,0.062101585796345504,0.037569049441039476,0.16023173121756965,1.644930485720927,1.6125704915222303,1.6530204842706013,1.665922955078124,1.6163106047637041,1.8643723563358037,0.06470109722095801,0.008094474902523125,0.07885275280056674
6,0.041,0.07474034399300396,0.0018620257003038258,0.17843863449208208,1.4706519701438046,1.3011591415100403,1.6429051584897816,1.335832388781354,1.1120616423635559,1.615746370000682,0.0795446063409103,0.030640081208969442,0.17224235267535806
7,0.042,0.05174156150451447,0.01597878654013796,0.07921380334810237,1.3672377801008015,1.0905473231489544,1.500525054862926,1.4863957084969794,1.2597389070660243,1.6471183698380323,0.05648435407637154,0.01803166409948221,0.08341928731092633
8,0.043,0.10017239508595871,0.020466174875511528,0.1798786152964059,1.4846662508682762,1.158851283201833,1.8104812185347194,1.5812662722484643,1.4068060706131134,1.7557264738838156,0.05926258149033903,0.04634957035354695,0.0721755926271311
9,0.044,0.06922122109755872,0.03549870068919818,0.11018803406765935,1.5382859517405352,1.39618854937869,1.650484002255868,1.5122026658460541,1.3690351994747976,1.6868687389483472,0.0921665916853943,0.021818104150776424,0.18228315089656716
10,0.045,0.17443299177221272,0.044497901474781984,0.3732749732282089,1.3965662511615655,1.3433184536879201,1.488942334720978,1.2048721488695866,1.0708937984362283,1.4067749743425426,0.18174664780495395,0.048752396069382836,0.35862419009074914
11,0.046,0.04246425463021583,0.04246425463021583,0.04246425463021583,1.4156053225665106,1.4156053225665106,1.4156053225665106,1.506956918749865,1.506956918749865,1.506956918749865,0.03251445169521516,0.03251445169521516,0.03251445169521516
