,pl,error_dl,min_dl,max_dl,error_ac,min_ac,max_ac,error_dev,min_dev,max_dev,error_lstm,min_lstm,max_lstm
0,0.9,0.11928473361567163,0.016146255824920554,0.29303796089801326,0.8907916475996184,0.10163796412139434,1.7335753941173038,1.1270043811609805,0.32585901603143347,1.9262137171340135,0.21762343154175143,0.011592402267847328,0.6898950000957913
1,0.82,0.11042410239485641,0.005492538074831353,0.27736130233066725,1.0006993558158914,0.3169840824166623,1.8767869524076464,1.2971083938269996,0.42314747282052495,2.175158854386745,0.21971677710475418,0.02066720289778447,0.8242978943909138
2,0.74,0.10605931059744146,0.007347218953301301,0.26633894295380056,1.0276340725374407,0.06837309687500212,1.777226348974765,1.1069430146533248,0.1278737338074465,1.869749701729799,0.26951503727254755,0.021863625524374958,0.796884880193689
3,0.66,0.10160267092272894,0.002072266011388389,0.2282215529371718,1.1354318919847386,0.1974367587274728,1.7103317388871715,1.2210465369911072,0.40035506500637635,1.9087912213127003,0.16217529205533282,0.016357485898857695,0.3348191530269446
4,0.58,0.11780285373436387,0.012585012828936754,0.24864703845086097,1.3338686692899708,0.6601533531774523,1.9533311602254315,1.2661296066598318,0.3676924155970734,1.8945721680857286,0.21520982279957362,0.0099473610053031,0.4488867733008638
5,0.5,0.1011343716355013,0.0035935659935937606,0.2839054092886432,1.3261760601516135,0.6966185609775628,1.7201234061377328,1.277276840445915,0.5546193829131862,1.9958087423869773,0.19826131642144632,0.008203444445488034,0.5229134756657254
6,0.42,0.09426012286948693,0.00874102641208512,0.2247894426254697,1.366674771761489,0.6677368562856534,1.8604123621360362,1.3019566453823816,0.5092447278984028,1.8394014181467842,0.1866395205981025,0.03196386421426269,0.396350370319085
7,0.34,0.09335098750596874,0.011479829838781073,0.21851616547434416,1.4882175652396434,1.1948918186646906,1.7908012633947317,1.4057213713563264,0.8677386502252143,2.067300815987634,0.18638751166734327,0.014249491561381304,0.39984232380128876
8,0.26,0.09489969127554891,0.004835581635966461,0.26304935989803846,1.4794315107999758,1.1863061495247462,1.7003051868288275,1.4457264053701693,1.0250261998561896,1.9727558557328266,0.1704402045353622,0.010899222358579987,0.3489945820693309
9,0.18,0.09565473886714888,0.016741464859637407,0.22564159558942157,1.5429324613145412,1.340830419263903,1.7562420335509832,1.475231572568177,1.114386527545639,1.8101625153118637,0.16807923235179106,0.03209592913636958,0.40649287700652903
10,0.1,0.08879945387980216,0.0076195471870488625,0.2139768906621087,1.5377211958930657,1.3084356328856686,1.8146101351650847,1.5160492458594153,1.0223284730889968,2.013073393588613,0.17487157719482302,0.01579276756029699,0.34222528938589347
