,dr,error_dl,min_dl,max_dl
0,0.0,0.0793122988874884,0.006280189853048919,0.21410217881202842
1,0.1,0.07300777841921495,0.0076123755745043115,0.1711997442558171
2,0.2,0.13498934013028271,0.04409663704004208,0.2589143059059424
3,0.3,0.2675163516316277,0.03524465130801797,0.4550835274155659
4,0.4,0.367664975665017,0.10466462129248287,0.6492110765773716
5,0.5,0.5529034103887964,0.16976499055178101,0.9913433102005771
