,Time,saliency_feature_x,saliency_feature_b
0,114.0,0.005236974902800284,0.009107950970064848
1,115.0,0.003085375402588397,0.009114492443040944
2,116.0,0.0014671184311737307,0.007146597147220745
3,117.0,0.0028831926145358013,0.007316998342867009
4,118.0,0.005591432697838172,0.005045573046663776
5,119.0,0.0021961092483252288,0.004384352170745842
6,120.0,0.003420445043593645,0.003984165782458149
7,121.0,0.0023187831029645167,0.006236105022253469
8,122.0,0.001817878131987527,0.003561800194438547
9,123.0,0.003646110574482009,0.004226397519232705
10,124.0,0.00313084101799177,0.004406784521415829
11,125.0,0.005514170009701047,0.005418494250625372
12,126.0,0.005625171569408849,0.012586838798597455
13,127.0,0.007037732872413471,0.010882243193918839
14,128.0,0.004702858514065156,0.011369626299710944
15,129.0,0.009437784532201477,0.011741675320081413
16,130.0,0.005251263504032977,0.008677510153211188
17,131.0,0.01096835930366069,0.007058138388674706
18,132.0,0.00488304417085601,0.008053598949118168
19,133.0,0.005520170977979433,0.009909300587605686
20,134.0,0.003924161559189088,0.008267610624898225
21,135.0,0.010457578118075617,0.009336385468486696
22,136.0,0.0035648489283630624,0.00529745207313681
23,137.0,0.00863126510521397,0.008498683851212264
24,138.0,0.02205746775289299,0.008002501330338418
25,139.0,0.003863271721638739,0.007860373289440758
26,140.0,0.004868775315117091,0.01090505777974613
27,141.0,0.006580466160812648,0.004945339294499718
28,142.0,0.005912740540225059,0.0046579999616369605
29,143.0,0.0032647169893607495,0.007706910952765611
30,144.0,0.007995008653961123,0.004054158768849447
31,145.0,0.002794318663654849,0.008151693112449721
32,146.0,0.00539231663569808,0.01049264256726019
33,147.0,0.008455909202166368,0.00842994413105771
34,148.0,0.006054536424926482,0.007001104747178033
35,149.0,0.0035362738504773005,0.004959348123520613
36,150.0,0.004307101837184746,0.003089329897193238
37,151.0,0.004687446298703435,0.005804062759852968
38,152.0,0.004541114523453871,0.007424744541276595
39,153.0,0.0026269847323419524,0.007902640831889584
40,154.0,0.003981478906098346,0.010129371716175228
41,155.0,0.006271949661459076,0.011585566907888279
