,uh,error_dl,min_dl,max_dl,error_ac,min_ac,max_ac,error_dev,min_dev,max_dev,error_lstm,min_lstm,max_lstm
0,0.018,0.1103727366002848,0.10248172701019942,0.12615475578045557,1.7540493286680598,1.750112330980271,1.7619233240436378,1.7885353322419002,1.7737722589903666,1.795916868867667,0.17106957282460286,0.07660855099916815,0.3599916164754722
1,0.019,0.07961209944801656,0.05938852761398363,0.09349815517730167,1.6799295490710424,1.6616268107352992,1.7352692320349294,1.7113153884911532,1.4580017788607873,1.8736549190790097,0.269865085543514,0.18797724537359864,0.31957384316204296
2,0.02,0.04715844080443409,0.015995249689987463,0.1257372832940037,1.6497674771348105,1.62718613984515,1.6690611360648093,1.606464454760952,1.513198631253582,1.725415865007077,0.17294361102771236,0.1071590030588303,0.30231678732003914
3,0.021,0.07152465286650034,0.0008842379146970281,0.13571188285196029,1.5916779869615332,1.5643534093056992,1.6084063312574146,1.5844027614271925,1.5228110016136303,1.6702169902229105,0.15403035775647556,0.010692840445813308,0.32217601382849764
4,0.022,0.10555302627561222,0.0010528899223470117,0.22094699640593407,1.4995895662649958,1.4895084520469872,1.56745412709038,1.612324362108041,1.4574544892103123,1.7542254557753507,0.016424329596964972,0.005999943236697327,0.03594067910217503
5,0.023,0.08387037890362993,0.0111478272040356,0.2586469683382313,1.4925620940264828,1.4400781081216842,1.5392365909210213,1.4393036195348337,1.3545879062040689,1.531007145999891,0.1297190238710344,0.04772773808490911,0.29543861656973164
6,0.025,0.07443447794096653,0.017862501916609628,0.1762260474364943,1.4304336759357723,1.385794269789024,1.5129042352803201,1.585053060277424,1.3012723552396124,2.0385364380001647,0.2743168169130945,0.2021753773950212,0.37629395261383347
7,0.026,0.11904631425765656,0.023193672095392342,0.19405504311238606,1.4163748181803368,1.3973061181757653,1.4795523115769194,1.2131787163107317,1.0298238445255177,1.5698081883774753,0.27723105810241777,0.23664598979678242,0.3252832574533886
8,0.027,0.11970667048980609,0.03821444903931898,0.19987703022353984,1.3854327098846895,1.3607170002821725,1.3968693136491193,1.3747317008307438,1.3076100768625916,1.525911887767856,0.32348528246163183,0.29780264428945946,0.36359687701165894
9,0.028,0.0809928341345391,0.0809928341345391,0.0809928341345391,1.3423682635983258,1.3423682635983258,1.3423682635983258,1.1636121805525597,1.1636121805525597,1.1636121805525597,0.3270086808638159,0.3270086808638159,0.3270086808638159
10,0.029,0.14276397298070728,0.14276397298070725,0.14276397298070725,1.6904563080634714,1.6904563080634718,1.6904563080634718,1.712919910676959,1.712919910676959,1.712919910676959,0.054409060817384114,0.054409060817384114,0.054409060817384114
