,error_dl_1e-05,min_dl_1e-05,max_dl_1e-05,error_dl_2e-05,min_dl_2e-05,max_dl_2e-05,error_dl_3e-05,min_dl_3e-05,max_dl_3e-05,error_dl_4e-05,min_dl_4e-05,max_dl_4e-05,error_dl_5e-05,min_dl_5e-05,max_dl_5e-05,ul
0,0.10862357688930135,0.0409302482086642,0.21264745574050184,0.07071904598597194,0.006332364757679,0.20704357155629352,0.0493241754799724,0.0002179802979196943,0.1303841198496422,0.05287377383538774,0.025274312847070636,0.09771041145699697,0.05915572658266884,0.009590243388950072,0.11737233620820016,0.0
1,0.04563907629101769,0.012558950466149176,0.09050145582798233,0.08306514515514092,0.01404403009501162,0.17646229012526535,0.06957481201539245,0.003381420404847686,0.16267601270702545,0.11355514708471504,0.027183596758094855,0.27488290518305586,0.09311709357586447,0.02749405070094747,0.18889030407044885,0.03
2,0.08898960748916457,0.015895546332321216,0.1702192209834105,0.053116679065654274,0.000288532258180101,0.178659725026563,0.08582406928043425,0.01727480271641185,0.15831391898056324,0.08881931860836094,0.010776398073543969,0.18923862439697609,0.05565510373145608,0.0028833941540754087,0.1916961645155781,0.06
3,0.07895975626030441,0.004988478066138278,0.17528234758079259,0.05758157234030866,0.0029956487106012125,0.09849969168662535,0.04577556640280787,0.004560542825187814,0.09695381363312637,0.07686351231593373,0.0003271645922043357,0.18281951756621623,0.06778991940537756,0.022046246466398814,0.22008760882199668,0.09
4,0.04311258536937196,0.003744237701089813,0.11676123671257573,0.1025921840997589,0.0008204078641642405,0.2203785038968866,0.06525215163691742,0.0011580141269408207,0.15778292715549555,0.06650490402065778,0.003271874692857884,0.1445310152676943,0.0981612944204924,0.023766323074470398,0.21405045266275372,0.12
5,0.10244501637110681,0.00867740335456119,0.2577024621126629,0.05063827965314756,0.0001657139330830217,0.10991706969331831,0.045342859820068804,0.0028172665033828945,0.1575813663543907,0.04850421443381327,0.005221334512762725,0.16422966787973337,0.07275059514967415,0.006222153745112792,0.14949279188540124,0.15
6,0.09967222505397354,0.03859983749356703,0.17077212569656827,0.1032958383620731,0.03876722501911063,0.2586508120636434,0.0689142506858224,0.028733380641476867,0.13067852148120832,0.05371545798570859,0.0014836653791094445,0.16215891899610504,0.07971158946132362,0.0057038747078650125,0.18794197784382943,0.18
7,0.09929230578802807,0.008386154326615014,0.30387100857125626,0.04578437810871737,0.01155925967824657,0.1202746057427614,0.0673410168452682,0.0029199530919919274,0.1546547284461627,0.0868202320163311,0.011300998031879124,0.2309321973278234,0.08561725578658594,0.012951295534473595,0.2553893521031123,0.21
8,0.06750964190537156,0.019241235459334212,0.12219635932584813,0.08348128030689583,5.4330894579835796e-05,0.2134618154424734,0.0973249533138937,0.018783990221502296,0.23308668745949995,0.0537450890469577,0.0013056179431201026,0.1719147413770371,0.13617456673780148,0.04998264392819774,0.20885388794030665,0.24
9,0.07680336008610834,0.009896265493852753,0.21056715437312157,0.05699846852625655,0.0032191796131828764,0.10568853034815659,0.0667063885112333,0.01727992711676795,0.16340690476265704,0.08062725647085739,0.02483964246014011,0.14662552470268383,0.07530788743989032,0.0048580930000398604,0.1890610015649576,0.27
10,0.10334017329994408,0.010956543198410669,0.21664355112468173,0.08380218525499866,0.011778591903872667,0.16916595289042632,0.07882764817693826,0.021033409233405704,0.21656900132636286,0.11522018555510942,0.02811335235371658,0.23306923510477875,0.11421427131069146,0.04542999448198155,0.23826207033755417,0.3
