,uh,error_dl,min_dl,max_dl,error_ac,min_ac,max_ac,error_dev,min_dev,max_dev,error_lstm,min_lstm,max_lstm
0,0.018,0.1434293241096557,0.11786618897127348,0.15621089167884683,1.76866165389269,1.739959799398285,1.7830125811398922,1.840011430877828,1.8333172993581326,1.8433584966376757,0.14147559093375714,0.019314005803683837,0.38579876119390377
1,0.019,0.12438605051090257,0.02811335235371658,0.21664355112468173,1.672559403565809,1.6129403136049676,1.750429214243657,1.774442994029238,1.557718366237349,1.9919523638293588,0.24051243555176677,0.14065726032474266,0.3570034616537988
2,0.02,0.08719886246311072,0.011778591903872667,0.21656900132636286,1.6536959434481031,1.6181328613388581,1.7034808314269745,1.588825277021553,1.3854221429660925,1.7233417218810023,0.16416056468703333,0.015459346991203366,0.2471764076029383
3,0.021,0.05502904417884229,0.021033409233405704,0.1343326458346744,1.5966705842477162,1.5487310167620114,1.6336559687651897,1.6171526106967316,1.5668671425007188,1.6729752560743314,0.177799259597536,0.023434798202925357,0.29443736712721946
4,0.022,0.09589493279185203,0.04877218580426561,0.23826207033755417,1.5475008342717038,1.499207840049085,1.6129496191396275,1.5977826243290045,1.4887171812014799,1.7300252954087478,0.05295785532708725,0.020128959788089668,0.0683776524474549
5,0.023,0.10738381183548079,0.05372700814174496,0.23638244028444555,1.5124033100860768,1.4629408617258512,1.5512400168495826,1.4301614513721754,1.262924149876492,1.5370742443422216,0.17477382405598832,0.05938111287169692,0.3703100880709608
6,0.025,0.06284454544729458,0.010956543198410669,0.13244101987431336,1.4452845449954503,1.3879582237382064,1.4834713631327037,1.3644442211650623,1.0806574431945417,1.5196842023161814,0.26851021427971083,0.1583969550296224,0.47620197200528924
7,0.026,0.09938380912084481,0.07663812098338063,0.1319887747726249,1.4128818999420814,1.3753987266949408,1.517537474757936,0.8176448400532106,0.18993826316225512,1.54280404471597,0.3165259038758763,0.19481627450410582,0.44894692107433104
8,0.027,0.13317955196837425,0.07090487767676598,0.23306923510477875,1.3623535015101849,1.2886118687489985,1.431147456028768,1.3601495322223027,1.2642679578333609,1.5472116304036663,0.34308273153173996,0.2723920219588336,0.41035001530516724
9,0.028,0.04542999448198155,0.04542999448198155,0.04542999448198155,1.3186294726184524,1.3186294726184524,1.3186294726184524,1.2355752827897046,1.2355752827897046,1.2355752827897046,0.3421458747350799,0.3421458747350799,0.3421458747350799
10,0.029,0.07295390467264408,0.0729539046726441,0.0729539046726441,1.6948710044724515,1.6948710044724513,1.6948710044724513,1.6467538942014228,1.646753894201423,1.646753894201423,0.1224213541468465,0.12242135414684649,0.12242135414684649
11,0.03,0.07803738978040699,0.030025695334813193,0.14662552470268383,1.40845679772311,1.2720470830259285,1.6033278187190831,1.4768332966260898,1.3788714318345678,1.6167788177568354,0.2085944698367212,0.023836728918342605,0.33792488847958624
12,0.031,0.05997703022433596,0.028194070424296416,0.09271380743217442,1.6508883576600828,1.6264262981025706,1.6776094570908464,1.6355794156171681,1.565875088582333,1.7116995831813302,0.14190086538132948,0.0677867133573336,0.20076358348230844
13,0.032,0.12233793246784268,0.12233793246784268,0.12233793246784268,1.5534402939951752,1.5534402939951755,1.5534402939951755,1.5996418460490203,1.5996418460490203,1.5996418460490203,0.1004773738683249,0.10047737386832492,0.10047737386832492
14,0.033,0.021106455494483325,0.021106455494483325,0.021106455494483325,1.6510125572551169,1.6510125572551169,1.6510125572551169,1.63645053419296,1.63645053419296,1.63645053419296,0.14611772445055088,0.14611772445055088,0.14611772445055088
15,0.034,0.04913054257786803,0.0048580930000398604,0.09270901678589515,1.552741707574118,1.3999965648589598,1.6405414676103782,1.319895460540729,0.5223723807892512,1.662486373490531,0.11081655902109003,0.018258553490490114,0.2837638878043959
16,0.035,0.09379072329940401,0.01727992711676795,0.19024322649031616,1.5447099327049487,1.511405489668362,1.6003270602812576,1.5549672361824889,1.4900825506496775,1.6365718337109623,0.03839114508887708,0.014708901199750104,0.05783756713192711
17,0.036,0.08471490842765288,0.03906908655819967,0.1890610015649576,1.4725655844234729,1.4119635955607361,1.5335779907863243,1.4540056391300167,1.2031549755781052,1.6877788467017094,0.13463291504533703,0.04965788693490454,0.19637747908704742
18,0.037,0.08633225039469809,0.02227531313700538,0.21056715437312157,1.438870731486503,1.159718772137426,1.6231347899502395,1.3106137327700333,0.7436844791551741,2.328538617088767,0.14188326360434655,0.028390547896958638,0.28621372228896946
19,0.038,0.07868315338077507,0.023886379503846096,0.13003458370791457,1.4870473358356369,1.2303431546001402,1.7452110403948358,1.380993192378464,0.9515072769070951,1.730201472162628,0.18051805753757544,0.10624928588736621,0.22891284505611206
20,0.039,0.13417468910026326,0.05992155332755278,0.23308668745949995,1.6201722707295407,1.397070215748079,1.8861901848182718,1.6047955311155473,1.326120846732889,1.868081016272467,0.180240101927566,0.10039497044412396,0.5206479217230358
21,0.04,0.025031571365522642,0.0013056179431201026,0.04847220784690243,1.6360188387786645,1.4322912026421066,1.7443959384499046,1.5571425745088008,1.2914383840257069,1.8231169993933696,0.19702369776343914,0.08144525102327366,0.2712732598924759
