,ul,error_dl,min_dl,max_dl,error_ac,min_ac,max_ac,error_dev,min_dev,max_dev,error_lstm,min_lstm,max_lstm
0,0.0,0.07205938589805334,0.006350253177822886,0.17119644005380527,1.2639735467729976,0.34705165724512577,1.8072026923213569,1.3606550554484105,0.5616958389243701,1.9923134560854727,0.17431213426854966,0.015640497050617205,0.40908687067946947
1,0.03,0.08165295666153574,0.01979058480148929,0.1776381506911261,1.2270573114947907,0.398406239977897,1.684438383612798,1.3153193577664692,0.5798747652555748,1.7684218595569394,0.176871847250434,0.01068704008410369,0.3818942136309597
2,0.06,0.05614593654046411,0.0029359770068234973,0.12486920110318477,1.3979813949740776,0.8637819473069464,1.7635915978980088,1.32547853097454,0.5133392874230719,2.159677955962666,0.18425721731317057,0.019787902956578347,0.37781067825056913
3,0.09,0.0724616291762742,0.010304620722830504,0.19430331199416498,1.3212514109954676,0.33592273322068633,1.6979848323262159,1.3710524306778122,0.47930881560107036,2.0128478784348354,0.1835948032858235,0.027861891358007058,0.4021711991112767
4,0.12,0.07700879493062002,0.003773655130187017,0.15919696095578434,1.4236039309821837,0.8911307128343703,1.7347982581965817,1.3510995187630912,0.6057225755824841,1.995830975963976,0.22007656489348368,0.020299542092391046,0.4569985246732791
5,0.15,0.07105909417205157,0.003228941509703563,0.19370043302625778,1.4209853083208213,0.5850109213162719,1.739902464160929,1.3910831319030612,0.7202644290675427,1.8926826252446678,0.1800951879453393,0.037958601389395406,0.3887026016620637
6,0.18,0.07442367658248299,0.007144401109056429,0.16185803888719436,1.3827222633765908,0.6012728440627895,1.652345949157735,1.2794704397949437,0.7097432411424406,1.847362917516345,0.21895505477650354,0.025490018233313087,0.4317500353630336
7,0.21,0.06882175216289133,0.006599284929053264,0.18182016770851248,1.5341198003819627,1.279677380946764,1.7731198141410072,1.3832331608714703,0.7415033252218624,1.85545568679233,0.18789482714305644,0.0075260129054608325,0.5116960469655796
8,0.24,0.07414351235916536,0.005719067590652096,0.16482285062643431,1.5103760103115118,1.3041920686317723,1.7419968534080297,1.3983653941840777,0.6090980345794225,1.8547086892966695,0.18440204626202142,0.012074098674528485,0.41503958576196276
9,0.27,0.0826297248971564,0.008490110171659244,0.20582899235543625,1.4849642781193895,1.2948094153393686,1.6635346340763255,1.449008765899757,1.1205389260280827,1.7086803039079657,0.1988118219680919,0.022326079410748892,0.42170258519082726
10,0.3,0.0896597004307848,0.0111478272040356,0.19987703022353984,1.5360129937879512,1.377690976609843,1.7352692320349294,1.5391008455456776,1.2737492687370557,1.8597611948431532,0.1947060110529596,0.010692840445813308,0.3599916164754722
