,al,error_dl,min_dl,max_dl,error_ac,min_ac,max_ac,error_dev,min_dev,max_dev,error_lstm,min_lstm,max_lstm
0,0.0,0.10644461451433879,0.014283724748039057,0.23117630213196663,1.7986410004387252,0.8047777067953141,3.4330541632909224,1.2694420898725536,0.08852909607109964,2.2725773532252886,0.49699902321984296,0.02779267893999365,1.6867065655817757
1,0.5,0.11064629235434889,0.01795856061176431,0.2642547628662798,1.39686395870776,0.11528816743469392,3.8107939666292876,1.184259282020312,0.21434600374008925,2.8532700281251127,0.5070017341248015,0.02708148606557916,1.5656928536100705
2,1.0,0.12832185736734486,0.012626206247258343,0.26098505876328204,1.2620337653621705,0.10457439876923377,2.7813986288432977,1.3139358031653876,0.19021590177857672,2.563136907239547,0.48530131642934454,0.035091838413717366,1.8121030682823003
3,1.5,0.13048758334720026,0.017118599780524362,0.3151456030954757,1.4992216945006036,0.1257584967815944,3.05649587633239,1.4455222727816601,0.2356025828085248,2.5589201419052845,0.48080936658673923,0.015213824637921414,1.5618703750529004
4,2.0,0.14562057138643847,0.009117842012856323,0.3768885446104771,1.5043645446857548,0.5330518965381552,3.102628197733259,1.3779839607489663,0.2427900528196335,2.3619856061028854,0.43894133386228207,0.06435922750435198,1.6946863248044186
5,2.5,0.115084848381875,0.004285716329063129,0.29258683137520086,0.8669469362799481,0.221802660612854,1.662719390900861,1.4221509408645177,0.11111213191701878,3.6412139510732384,0.3990064516539525,0.0227445644614965,1.643881881638952
6,3.0,0.09270194218276483,0.01911773135471536,0.2588603724990501,1.4870242821488182,0.875937786599691,2.02468309236082,1.3737128423217382,0.30785127716293037,2.877506531204484,0.31761775331459274,0.033879933533845025,1.0895397054290346
7,3.5,0.12034185182789821,0.014349518984725163,0.25619812659478175,0.9754371026887686,0.18054745840886466,1.5903368791924297,1.1948522262820935,0.19859516673885427,2.255112413725976,0.4116082944525628,0.02559150617445805,2.3032600465924293
8,4.0,0.10592647653909346,0.010514949967844113,0.2730491570638353,0.9568173140295555,0.4110357348336937,1.3093619477049103,1.2733050511434862,0.19830601516836494,2.2590446457855973,0.26026893894197783,0.010864734750086051,0.6902844296930519
9,4.5,0.10666956189870971,0.01091824763238605,0.23548288343265042,1.5607591292975764,0.680112977983168,2.2181100811733816,1.1629009902850942,0.29714937398651003,1.904346627557876,0.18738780672275168,0.011989763408659645,0.3653781468111169
10,5.0,0.11534409399581703,0.016471248932099496,0.22658897063921982,1.5965424333178644,1.1038873416875024,2.360486799547219,1.4246168407652462,0.8728925262374899,1.85152883916042,0.22468970360198512,0.016235119608087906,0.4316512238703872
