,ah,error_dl,min_dl,max_dl,error_ac,min_ac,max_ac,error_dev,min_dev,max_dev,error_lstm,min_lstm,max_lstm
0,0.217,0.18311898488746967,0.18311898488746967,0.18311898488746967,2.1535336159522336,2.1535336159522336,2.1535336159522336,0.919844841944387,0.919844841944387,0.919844841944387,0.9592130463374323,0.9592130463374324,0.9592130463374324
1,0.229,0.22110732925801388,0.22110732925801388,0.22110732925801388,2.794024564163673,2.794024564163673,2.794024564163673,1.955669129527351,1.955669129527351,1.955669129527351,0.789318240364431,0.789318240364431,0.789318240364431
2,0.252,0.2997319757938357,0.2997319757938357,0.2997319757938357,0.8710274566519058,0.8710274566519058,0.8710274566519058,2.255112413725976,2.255112413725976,2.255112413725976,2.8329539579153002,2.8329539579153002,2.8329539579153002
3,0.262,0.28976325057645896,0.28976325057645896,0.28976325057645896,3.069850390317405,3.069850390317405,3.069850390317405,1.586089849170292,1.586089849170292,1.586089849170292,1.7239575156903648,1.7239575156903648,1.7239575156903648
4,0.288,0.32511736341518727,0.32511736341518727,0.32511736341518727,1.5946490556595718,1.5946490556595718,1.5946490556595718,1.3897464063087943,1.3897464063087943,1.3897464063087943,0.33756286060537394,0.33756286060537394,0.33756286060537394
5,0.29,0.08282879563036075,0.08282879563036075,0.08282879563036075,2.232205224413513,2.232205224413513,2.232205224413513,1.25260203660305,1.25260203660305,1.25260203660305,0.3655156771150154,0.3655156771150154,0.3655156771150154
6,0.294,0.13113125601253017,0.13113125601253017,0.13113125601253017,2.5477144992470637,2.5477144992470637,2.5477144992470637,1.7727568944980812,1.7727568944980812,1.7727568944980812,0.2812561555046805,0.2812561555046805,0.2812561555046805
7,0.3,0.19519118686298764,0.19519118686298764,0.19519118686298764,1.5531553170809096,1.5531553170809096,1.5531553170809096,1.430235542321096,1.430235542321096,1.430235542321096,0.3304085714833726,0.3304085714833726,0.3304085714833726
8,0.303,0.17296235672428514,0.17296235672428512,0.17296235672428512,1.4673854037349503,1.4673854037349503,1.4673854037349503,1.5783849591388603,1.5783849591388603,1.5783849591388603,0.29460356020478673,0.29460356020478673,0.29460356020478673
9,0.305,0.15487990665623627,0.15487990665623627,0.15487990665623627,1.1706136304420136,1.1706136304420136,1.1706136304420136,1.6771270467169548,1.6771270467169548,1.6771270467169548,0.10105129977850102,0.10105129977850102,0.10105129977850102
10,0.31,0.04715278197119807,0.04715278197119807,0.04715278197119807,1.9177418186961301,1.9177418186961301,1.9177418186961301,0.16379182579220664,0.16379182579220664,0.16379182579220664,0.18044674440367384,0.18044674440367384,0.18044674440367384
11,0.312,0.09271543163784586,0.09271543163784587,0.09271543163784587,1.693399826861705,1.6933998268617052,1.6933998268617052,1.8504273093491979,1.8504273093491979,1.8504273093491979,0.23787079771589484,0.23787079771589484,0.23787079771589484
12,0.313,0.2182614115011124,0.21826141150111245,0.21826141150111245,0.6878509563795366,0.6878509563795367,0.6878509563795367,4.5494254847267115,4.5494254847267115,4.5494254847267115,1.9915476689370661,1.9915476689370661,1.9915476689370661
13,0.315,0.10353933106824327,0.10353933106824327,0.10353933106824327,1.1272852296899383,1.1272852296899383,1.1272852296899383,1.486215984617486,1.486215984617486,1.486215984617486,0.16292761239000922,0.16292761239000922,0.16292761239000922
