,ah,error_dl,min_dl,max_dl,error_ac,min_ac,max_ac,error_dev,min_dev,max_dev,error_lstm,min_lstm,max_lstm
408,1.94,0.008630090056191652,0.008630090056191652,0.008630090056191652,2.1058271853009227,2.1058271853009227,2.1058271853009227,2.5767631569654634,2.576763156965464,2.576763156965464,0.2787103014148593,0.2787103014148593,0.2787103014148593
409,1.951,0.08400934619401883,0.08400934619401883,0.08400934619401883,1.165379836602042,1.165379836602042,1.165379836602042,1.7101967753859864,1.7101967753859864,1.7101967753859864,0.19947959177128394,0.19947959177128394,0.19947959177128394
410,1.956,0.12680786874897998,0.12680786874898,0.12680786874898,0.9089690011784823,0.9089690011784821,0.9089690011784821,0.013256134412318531,0.01325613441231853,0.01325613441231853,0.27314406615084164,0.27314406615084164,0.27314406615084164
411,1.961,0.03674081071667815,0.03674081071667815,0.03674081071667815,1.2276317748145278,1.227631774814528,1.227631774814528,1.7643905584430126,1.7643905584430126,1.7643905584430126,0.16943824154538334,0.1694382415453833,0.1694382415453833
412,1.969,0.19312419003613232,0.19312419003613232,0.19312419003613232,0.7851282739713351,0.7851282739713348,0.7851282739713348,1.3626318681160337,1.3626318681160337,1.3626318681160337,0.06320654236993149,0.0632065423699315,0.0632065423699315
413,1.974,0.29741873094980004,0.2974187309497999,0.2974187309497999,0.2729913217135772,0.2729913217135771,0.2729913217135771,2.8287267320308906,2.8287267320308915,2.8287267320308915,0.10929904642317675,0.10929904642317681,0.10929904642317681
414,1.977,0.026754684739632304,0.026754684739632304,0.026754684739632304,0.13639989068319222,0.13639989068319222,0.13639989068319222,2.0864410849393753,2.086441084939375,2.086441084939375,0.00969990931363893,0.009699909313638929,0.009699909313638929
415,1.981,0.16912938922658619,0.1691293892265862,0.1691293892265862,1.401431619962745,1.4014316199627452,1.4014316199627452,1.171289067714659,1.171289067714659,1.171289067714659,0.18404636576523384,0.18404636576523384,0.18404636576523384
416,1.982,0.12411948501402109,0.12411948501402106,0.12411948501402106,0.6668316853252293,0.6668316853252295,0.6668316853252295,0.8920403578749445,0.8920403578749445,0.8920403578749445,0.20818084397301484,0.20818084397301487,0.20818084397301487
417,1.984,0.12310135024964387,0.1231013502496439,0.1231013502496439,3.594732320952192,3.59473232095219,3.59473232095219,0.824268524884128,0.8242685248841283,0.8242685248841283,0.2183050090850162,0.21830500908501616,0.21830500908501616
418,2.012,0.014229879691128882,0.014229879691128882,0.014229879691128882,0.15298428933295902,0.15298428933295893,0.15298428933295893,1.0341073874673994,1.034107387467399,1.034107387467399,0.12436723536827025,0.12436723536827028,0.12436723536827028
419,2.031,0.17828962980776192,0.17828962980776192,0.17828962980776192,0.4455440552583355,0.4455440552583356,0.4455440552583356,1.6682491679840323,1.6682491679840326,1.6682491679840326,0.10908854742174619,0.10908854742174622,0.10908854742174622
420,2.035,0.08032162108933615,0.05554547476029988,0.10394538851934745,1.073312157520871,0.8586711835267605,1.2984234229293277,0.5948578600047716,0.1966022498037217,0.9745899534522842,0.07723434132864143,0.0617469655097958,0.09347719889474784
421,2.037,0.22529062559982765,0.22529062559982765,0.22529062559982765,1.4211381773390228,1.4211381773390233,1.4211381773390233,2.3512488461986463,2.3512488461986463,2.3512488461986463,0.19891498150869963,0.19891498150869957,0.19891498150869957
422,2.051,0.044808420763948746,0.044808420763948746,0.044808420763948746,1.9117555908523787,1.9117555908523787,1.9117555908523787,0.8577094298837379,0.8577094298837374,0.8577094298837374,0.01891181483956987,0.018911814839569874,0.018911814839569874
423,2.052,0.280079814146127,0.280079814146127,0.280079814146127,0.9222689380595108,0.9222689380595108,0.9222689380595108,2.016087481640614,2.0160874816406134,2.0160874816406134,0.07237801264661307,0.07237801264661307,0.07237801264661307
424,2.054,0.23943348194050817,0.23943348194050817,0.23943348194050817,0.7597609822638007,0.7597609822638007,0.7597609822638007,1.3904868720310817,1.390486872031082,1.390486872031082,0.02942996202100217,0.029429962021002173,0.029429962021002173
