,error_dl_0.0001,min_dl_0.0001,max_dl_0.0001,error_dl_0.0002,min_dl_0.0002,max_dl_0.0002,error_dl_0.0003,min_dl_0.0003,max_dl_0.0003,error_dl_0.0004,min_dl_0.0004,max_dl_0.0004,error_dl_0.0005,min_dl_0.0005,max_dl_0.0005,al
0,0.11653879526085023,0.0008700351462089999,0.3635424388264956,0.11706975645838677,0.007413555428705646,0.28024584929658797,0.11667142038135267,0.006427749386501894,0.34701805521532997,0.12778706992719577,0.010463982694628542,0.3242342961971159,0.06050683774973402,0.008315871866020754,0.22529062559982765,0.0
1,0.09421903082833756,0.013891253137714924,0.21972263395428393,0.17725378460128094,0.015882321152079906,0.280079814146127,0.1090567526963522,0.00457753139226291,0.23834060338693983,0.08818769298172505,0.000817643310682635,0.27928872415091355,0.1690609318072966,0.025528900394498573,0.4107096415641579,0.5
2,0.13628662588300428,0.0007464780524361807,0.34615504885571574,0.06398390709671774,0.0009125907663039728,0.19312419003613232,0.11530734149709018,0.047473447664424864,0.28577362522187905,0.0611115858265658,0.009119737346542181,0.18905859091458047,0.12359150303944008,0.03967026996539793,0.2948346643656364,1.0
3,0.11083337719950752,0.008492529182255,0.2854778793847984,0.14849122031265297,0.003968199061106543,0.34795301836563014,0.12157438942668893,0.006640780125443121,0.21249891271390084,0.20974471240587295,0.00028589936554401974,0.36701074344493806,0.0908794286401612,0.02748973890900706,0.17828962980776192,1.5
4,0.10906876214354896,0.0035174251698668027,0.2820828744378916,0.15927616452477342,0.04345974673687592,0.38025931024666576,0.11086895933817424,0.020818383820857555,0.3791344502213601,0.09085064833663867,0.017771880931462154,0.15840410174121342,0.09195817109441705,0.03515757232215722,0.2747054003764816,2.0
5,0.20496616582923782,0.030912301301887265,0.37616205498894484,0.11611288528898303,0.0027873311881668294,0.2565250542131781,0.0857231835269756,0.006195614660134254,0.196334280271692,0.10691974730689535,0.009362942502040957,0.19946756140250188,0.11452270447758202,0.056112006807526434,0.27743954476789195,2.5
6,0.10046132932444693,0.03542102262811837,0.28738558265155745,0.1408156238154919,0.06720526497149046,0.22711118978172276,0.13818865364436572,0.009197699344565742,0.2813797024711748,0.10738084594379296,0.0188710117891081,0.24711850409365213,0.06858166031655918,0.003314165089016388,0.19947746128126218,3.0
7,0.11961131584761822,0.0009105882509186055,0.2398003603572799,0.08326042877148361,0.008619979302057329,0.19523138159594142,0.26491177452598247,0.0984169537464444,0.6562817275524147,0.10412262403551018,0.020548775423721233,0.17322637012331837,0.10279878867073122,0.003414527245914227,0.2741698478067536,3.5
8,0.13002916134259035,0.006863389735544487,0.5476881837669507,0.1076762079703156,0.0019374438464984018,0.24652252694044194,0.10951073780678995,0.02003963950648428,0.19993777678680288,0.12549108857220828,0.000764040295257082,0.2581884841499096,0.13972969009394814,0.006631480179396624,0.4159781539874685,4.0
9,0.16818778448729077,0.06069597167927522,0.2622358448958453,0.13064706829503647,0.019779446099932742,0.2793566076288111,0.10497893748314098,0.012846064677290664,0.2501334958958971,0.10340497646594878,0.01112562850162916,0.3397463068852772,0.06438699125903229,0.007803352809788495,0.25146070439163387,4.5
10,0.10317322197228132,0.02084116616587126,0.19099309863624858,0.10056646584806431,0.01895442647938981,0.2010834974254803,0.08507629369528416,0.005107945785520786,0.2419325844752162,0.09721468215613065,0.004083892616888648,0.2690107446989181,0.08688955540456976,0.00041145010138569064,0.19198739055060046,5.0
