,pl,error_dl,min_dl,max_dl
0,0.9,0.22277863478875112,0.03095605372796955,0.5680667973877563
1,0.82,0.18046021085675373,0.02706752144229151,0.376463115612856
2,0.74,0.22566122783934645,0.03039789594452964,0.5103394854661704
3,0.66,0.19655888633022223,0.020774361091639288,0.33979460821786683
4,0.58,0.16802502918847087,0.027757881495837786,0.3397262988582167
5,0.5,0.18850319620794562,0.01383960385655228,0.48183882796283156
6,0.42,0.1719735997361303,0.006949360977262957,0.39449442379279304
7,0.34,0.13921798007760888,0.015864867711924593,0.2767691357209212
8,0.26,0.1623878232888244,0.013592565975720663,0.3293541243201817
9,0.18,0.15105782088940528,0.016375688676636337,0.33452147639270613
10,0.1,0.14227481008253182,0.02295195145464552,0.36326908371859556
