,ul,error_dl,min_dl,max_dl
0,0.0,0.13245960604503462,0.005979926721218832,0.35076146202291403
1,0.03,0.11286307510808707,0.005115318448270518,0.2618980814989133
2,0.06,0.08954173684751933,0.010819416097853377,0.2427474153708669
3,0.09,0.09662208428579014,0.009410026647638915,0.25235374937666083
4,0.12,0.09926946518942652,0.007631591371798307,0.22281346103328134
5,0.15,0.11077232544883127,0.01354356937266503,0.2698483608922282
6,0.18,0.1009339000003439,0.012355113352617048,0.23895508386591618
7,0.21,0.08813861299946608,0.003773657848657593,0.2915262075896366
8,0.24,0.0881975294009476,0.012337126081923853,0.22521905930950165
9,0.27,0.09204334063162593,0.012774734424823573,0.20267512132852653
10,0.3,0.10088503688857241,0.0026671218567598863,0.23980365381971594
