,ul,error_dl,min_dl,max_dl
0,1.4,0.046281959149890584,0.0011825319766926407,0.09248570348014044
1,1.38,0.022857740631084623,0.00030537061388039683,0.05749375197801512
2,1.36,0.035681444978629295,0.007659172482644857,0.07216879315342273
3,1.34,0.04585798041419232,0.010068723681952305,0.0732902566762775
4,1.32,0.06681554028618326,0.024009145684965663,0.11712797160287736
5,1.3,0.07782543973694221,0.006692309972432258,0.17682140031379595
6,1.28,0.18293222751550864,0.03765900277168221,0.3326984671508822
7,1.26,0.20067533181506017,0.035337548338312506,0.38788955802690944
8,1.24,0.27029267852055494,0.01868774502737113,0.4546575481487367
9,1.22,0.3231166963269837,0.13246235965672945,0.5081280880874663
10,1.2,0.31941638411887674,0.12141037542270776,0.4993265289245348
