,kl,error_dl,min_dl,max_dl
0,0.2,0.12014632484159371,0.01183037245869391,0.3804720944174814
1,0.22,0.08752840736654893,0.01170464668924858,0.2505051942485221
2,0.24,0.07883247824465378,0.009882946483425347,0.1738662138177997
3,0.26,0.09276143242617996,0.005034211136045416,0.2843834858579375
4,0.28,0.0754975959601476,0.007384854986497571,0.17355350664128485
5,0.3,0.09981647293770819,0.0023294644671446848,0.26729756709366725
6,0.32,0.08002626493357753,0.0033340295300863373,0.19696805056403516
7,0.34,0.08694000423783839,0.012296852257353556,0.20474284269268916
8,0.36,0.07267169877442087,0.00467996335746283,0.1764441682425102
9,0.38,0.07414210005399757,0.008395766662647111,0.1642412984801157
10,0.4,0.06757870079237892,0.010256040010517756,0.15954839778494798
