,al,error_dl,min_dl,max_dl
0,0.0,0.07742699854233714,0.01623489187234364,0.11640149187337732
1,0.5,0.05944371067787589,0.005317948295213698,0.11393741477348168
2,1.0,0.07580045491865059,0.01896045963070496,0.12345341910788378
3,1.5,0.05040578267806532,0.010794744388945818,0.09031978651294202
4,2.0,0.06340613804758526,0.007610302555148867,0.11676574973004755
5,2.5,0.05584417364723051,0.0024853612783247193,0.12546417858781037
6,3.0,0.07177385915651831,0.010413365869478525,0.11778243382771793
7,3.5,0.08131672471695703,0.022960059768785845,0.1464578287782937
8,4.0,0.09106939492783991,0.016315716709063555,0.1594386941744144
9,4.5,0.07880899974675552,0.010070852987105146,0.14916229839362807
10,5.0,0.0739180137921321,0.019985014651001894,0.13138558503541511
