,sigma,error_dl,min_dl,max_dl
0,0.01,0.052213506842484644,0.004087586149312761,0.10676435060210575
1,0.05,0.053871774190013114,0.0023888577037138293,0.10447203753111924
2,0.1,0.05009443569224109,0.0035084109530289205,0.09533932133400423
3,0.15,0.06370436654557148,0.006637774208910653,0.11191314715074535
4,0.2,0.05612239338778977,0.005696303055452906,0.10621519163820269
5,0.25,0.051236298445691164,0.003136816279901197,0.086947810220506
