,sigma,error_dl,min_dl,max_dl
0,0.01,0.05674957926902035,0.0067686410566138,0.10167076388994854
1,0.025,0.05581825779461665,0.00254997053950454,0.10047204251908605
2,0.05,0.05315764350485181,0.008105548202781766,0.09165898841970198
3,0.075,0.06920303341373588,0.006999644467150453,0.12974643019164367
4,0.1,0.05834638372849641,0.00535046112706059,0.10745757211113921
5,0.125,0.054329382871287385,0.0031992820983236655,0.1055264020550223
6,0.15,0.07025869904673292,0.012883436930927437,0.1257908192042958
